customer_id,tenure_months,monthly_charges,contract_type,support_calls,churn,days_since_cancellation,final_bill_amount
20406,13,99.17,Month-to-month,2,0,,
20531,24,66.77,Month-to-month,1,0,,
20307,15,44.03,One year,1,0,,
20391,3,61.08,Two year,3,0,,
20147,8,106.72,Two year,1,0,,
20428,3,85.16,Month-to-month,2,1,16.0,94.56
20595,21,78.6,Month-to-month,1,0,,
20125,1,47.74,One year,0,0,,
20561,9,90.38,One year,2,0,,
20054,3,44.12,Month-to-month,2,0,,
20548,9,42.12,Two year,4,0,,
20069,13,46.26,Two year,2,0,,
20263,2,84.34,Two year,5,0,,
20032,4,60.27,One year,1,0,,
20071,8,71.15,Two year,5,0,,
20464,10,85.67,Month-to-month,4,1,54.0,97.81
20238,3,42.97,Month-to-month,3,1,77.0,40.86
20544,6,103.53,Two year,5,1,53.0,98.51
20158,58,40.9,Month-to-month,2,0,,
20441,3,76.29,Month-to-month,4,1,39.0,98.75
20290,21,19.94,Month-to-month,2,0,,
20275,29,84.83,Month-to-month,2,1,58.0,97.6
20583,9,96.46,Month-to-month,4,1,60.0,117.15
20090,31,42.21,Month-to-month,1,0,,
20363,72,64.01,Month-to-month,3,0,,
20410,11,55.94,Month-to-month,5,1,30.0,48.8
20109,18,55.82,Month-to-month,6,0,,
20379,16,64.95,One year,1,1,74.0,79.74
20360,17,73.53,One year,3,0,,
20355,10,76.87,Month-to-month,1,0,,
20325,1,47.93,Month-to-month,3,1,86.0,45.39
20425,8,106.29,Month-to-month,2,1,3.0,107.56
20594,45,84.64,Two year,2,0,,
20107,32,40.92,Month-to-month,2,0,,
20421,18,44.51,Month-to-month,0,1,44.0,44.72
20345,68,56.55,Month-to-month,2,0,,
20197,47,75.4,Two year,2,0,,
20217,8,51.77,Month-to-month,2,0,,
20215,34,84.07,One year,2,0,,
20437,5,83.82,One year,2,0,,
20012,72,107.24,Month-to-month,1,1,84.0,126.74
20402,1,76.88,Month-to-month,5,0,,
20067,24,74.85,One year,5,0,,
20266,29,66.62,Month-to-month,0,1,78.0,70.74
20486,67,54.95,Month-to-month,1,1,20.0,65.3
20532,13,64.87,Month-to-month,2,0,,
20140,24,86.85,Month-to-month,3,0,,
20121,30,42.17,Month-to-month,5,1,48.0,35.28
20327,71,45.77,Month-to-month,3,0,,
20491,23,59.73,One year,2,0,,
20368,18,71.23,Month-to-month,8,0,,
20160,8,87.47,Month-to-month,2,1,60.0,87.07
20304,19,92.44,One year,3,0,,
20261,3,18.0,Month-to-month,3,0,,
20081,72,73.51,Two year,0,0,,
20225,38,55.48,Month-to-month,0,0,,
20009,8,68.65,One year,0,0,,
20495,33,62.89,Month-to-month,3,1,63.0,70.62
20068,13,50.63,Month-to-month,4,1,2.0,50.61
20330,11,65.02,Month-to-month,2,0,,
20066,17,51.9,One year,2,0,,
20553,11,88.56,Month-to-month,0,0,,
20418,18,105.97,One year,2,1,62.0,127.09
20385,19,71.15,Month-to-month,2,0,,
20308,1,114.37,Two year,3,0,,
20493,17,59.78,Two year,5,0,,
20326,19,74.32,One year,1,0,,
20204,2,70.09,Month-to-month,1,1,30.0,76.43
20348,3,60.91,Month-to-month,3,1,29.0,61.04
20512,3,57.64,Month-to-month,2,0,,
20210,11,100.19,Month-to-month,1,0,,
20281,24,108.38,Month-to-month,2,1,2.0,114.4
20277,19,62.96,Month-to-month,1,0,,
20004,1,82.14,One year,1,1,10.0,104.24
20555,33,61.39,Two year,1,0,,
20289,26,79.27,Month-to-month,2,1,62.0,90.66
20474,27,71.99,One year,4,0,,
20523,7,114.4,One year,4,0,,
20239,41,69.31,Two year,5,0,,
20176,29,53.13,Month-to-month,2,0,,
20358,5,54.8,Two year,2,0,,
20408,34,81.83,Two year,0,0,,
20164,2,90.67,Month-to-month,5,1,1.0,82.32
20338,5,81.56,Two year,1,0,,
20287,15,36.29,Month-to-month,4,0,,
20443,20,54.93,Month-to-month,1,0,,
20321,11,63.53,One year,2,0,,
20073,10,82.73,One year,1,0,,
20312,4,47.08,Month-to-month,0,0,,
20398,11,104.79,One year,1,0,,
20356,6,74.78,Month-to-month,1,0,,
20229,48,63.55,Month-to-month,2,0,,
20195,1,71.21,Two year,2,0,,
20432,37,82.66,Two year,3,0,,
20311,13,42.64,Month-to-month,1,0,,
20230,25,45.42,Two year,2,0,,
20227,3,69.66,Month-to-month,2,1,10.0,69.66
20530,49,43.08,Two year,3,0,,
20538,1,45.6,Month-to-month,1,1,51.0,56.02
20564,16,73.33,Month-to-month,1,0,,
20300,1,46.87,Month-to-month,3,1,19.0,43.4
20540,5,62.47,Month-to-month,1,0,,
20100,49,92.29,Month-to-month,3,0,,
20076,40,63.3,Month-to-month,2,0,,
