student_id,city,gender,income_bracket,school_name,final_score,passed
2001,Patna,Female,5-10L,School_012,65.6,1
2002,Hyderabad,Male,>20L,School_004,77.6,1
2003,Hyderabad,Male,<5L,School_001,54.4,0
2004,Patna,Female,5-10L,School_001,54.4,0
2005,Bengaluru,Male,<5L,School_002,38.6,0
2006,Lucknow,Male,>20L,School_002,58.6,0
2007,Lucknow,Female,5-10L,School_001,60.8,1
2008,Delhi,Female,10-20L,School_002,52.2,0
2009,Mumbai,Male,5-10L,School_003,59.2,0
2010,Kota,Female,10-20L,School_001,65.4,1
2011,Kota,Female,10-20L,School_002,74.1,1
2012,Lucknow,Female,10-20L,School_002,51.8,0
2013,Patna,Male,>20L,School_002,60.0,1
2014,Mumbai,Male,5-10L,School_006,68.3,1
2015,Pune,Female,5-10L,School_003,44.9,0
2016,Lucknow,Male,10-20L,School_001,62.0,1
2017,Delhi,Male,10-20L,School_015,58.6,0
2018,Lucknow,Male,5-10L,School_004,78.0,1
2019,Mumbai,Female,10-20L,School_003,66.4,1
2020,Pune,Female,<5L,School_009,29.1,0
2021,Lucknow,Male,5-10L,School_011,57.2,0
2022,Kota,Female,10-20L,School_020,56.0,0
2023,Kota,Female,<5L,School_016,55.5,0
2024,Kota,Male,10-20L,School_007,59.0,0
2025,Hyderabad,Male,<5L,School_010,41.6,0
2026,Kota,Female,>20L,School_001,62.2,1
2027,Patna,Female,5-10L,School_009,45.5,0
2028,Pune,Female,5-10L,School_001,73.8,1
2029,Pune,Female,10-20L,School_001,66.7,1
2030,Bengaluru,Female,5-10L,School_001,60.2,1
2031,Bengaluru,Male,10-20L,School_002,63.7,1
2032,Bengaluru,Female,<5L,School_001,62.2,1
2033,Bengaluru,Female,5-10L,School_007,69.8,1
2034,Patna,Female,5-10L,School_011,67.6,1
2035,Lucknow,Female,>20L,School_013,68.7,1
2036,Lucknow,Female,<5L,School_001,56.1,0
2037,Hyderabad,Female,5-10L,School_006,66.7,1
2038,Bengaluru,Male,10-20L,School_019,62.7,1
2039,Kota,Female,5-10L,School_001,59.6,0
2040,Patna,Male,<5L,School_001,47.8,0
2041,Pune,Male,5-10L,School_001,41.2,0
2042,Delhi,Female,<5L,School_003,56.0,0
2043,Lucknow,Female,<5L,School_001,37.8,0
2044,Delhi,Male,10-20L,School_004,70.5,1
2045,Lucknow,Female,<5L,School_002,47.3,0
2046,Bengaluru,Male,5-10L,School_007,43.0,0
2047,Mumbai,Female,10-20L,School_004,75.4,1
2048,Mumbai,Female,10-20L,School_008,64.7,1
2049,Pune,Male,5-10L,School_001,58.8,0
2050,Mumbai,Female,10-20L,School_009,55.6,0
2051,Delhi,Male,5-10L,School_010,71.4,1
2052,Bengaluru,Female,10-20L,School_010,49.8,0
2053,Patna,Female,10-20L,School_001,69.3,1
2054,Pune,Female,10-20L,School_038,68.3,1
2055,Lucknow,Female,10-20L,School_005,83.3,1
2056,Patna,Male,5-10L,School_001,65.5,1
2057,Lucknow,Male,5-10L,School_003,59.6,0
2058,Hyderabad,Female,5-10L,School_004,62.2,1
2059,Pune,Female,10-20L,School_004,63.3,1
2060,Bengaluru,Female,5-10L,School_001,52.0,0
2061,Kota,Male,5-10L,School_001,57.2,0
2062,Pune,Male,10-20L,School_002,42.6,0
2063,Pune,Female,5-10L,School_013,55.3,0
2064,Delhi,Male,5-10L,School_003,70.0,1
2065,Patna,Female,10-20L,School_001,60.5,1
2066,Mumbai,Male,5-10L,School_003,68.5,1
2067,Mumbai,Male,10-20L,School_001,45.9,0
2068,Delhi,Female,10-20L,School_001,54.8,0
2069,Patna,Male,5-10L,School_047,52.5,0
2070,Hyderabad,Male,10-20L,School_001,61.3,1
2071,Patna,Male,<5L,School_004,58.2,0
2072,Delhi,Male,5-10L,School_002,58.7,0
2073,Hyderabad,Female,10-20L,School_001,60.6,1
2074,Kota,Female,5-10L,School_028,59.0,0
2075,Pune,Male,5-10L,School_035,57.5,0
2076,Mumbai,Female,10-20L,School_001,66.7,1
2077,Bengaluru,Male,10-20L,School_002,50.5,0
2078,Lucknow,Female,5-10L,School_002,60.2,1
2079,Hyderabad,Female,5-10L,School_001,61.7,1
2080,Delhi,Female,<5L,School_007,53.7,0
2081,Bengaluru,Male,5-10L,School_014,63.9,1
2082,Kota,Male,5-10L,School_012,70.0,1
2083,Patna,Female,5-10L,School_008,62.9,1
2084,Patna,Male,>20L,School_001,71.6,1
2085,Delhi,Female,5-10L,School_001,61.0,1
2086,Bengaluru,Male,5-10L,School_004,73.9,1
2087,Patna,Male,5-10L,School_009,40.2,0
2088,Lucknow,Male,5-10L,School_002,61.3,1
2089,Hyderabad,Male,>20L,School_003,71.2,1
2090,Hyderabad,Female,>20L,School_019,46.7,0
2091,Mumbai,Male,5-10L,School_001,68.7,1
2092,Hyderabad,Female,<5L,School_001,54.9,0
2093,Pune,Female,>20L,School_001,54.7,0
2094,Mumbai,Female,5-10L,School_053,55.8,0
2095,Delhi,Female,10-20L,School_001,54.0,0
2096,Bengaluru,Female,<5L,School_001,70.8,1
2097,Hyderabad,Female,10-20L,School_002,58.2,0
2098,Bengaluru,Male,5-10L,School_007,43.9,0
2099,Bengaluru,Female,5-10L,School_001,62.4,1
2100,Lucknow,Male,<5L,School_019,50.1,0
2101,Hyderabad,Male,5-10L,School_001,73.4,1
2102,Kota,Female,10-20L,School_009,33.9,0
2103,Hyderabad,Female,10-20L,School_001,43.1,0
2104,Bengaluru,Male,5-10L,School_025,61.6,1
2105,Mumbai,Female,10-20L,School_001,58.2,0
2106,Mumbai,Female,5-10L,School_010,53.1,0
2107,Hyderabad,Female,5-10L,School_019,40.1,0
2108,Pune,Male,5-10L,School_001,61.4,1
2109,Bengaluru,Female,<5L,School_001,67.4,1
2110,Kota,Female,5-10L,School_005,61.7,1
2111,Delhi,Female,10-20L,School_003,77.8,1
2112,Delhi,Male,10-20L,School_003,63.8,1
2113,Pune,Female,<5L,School_013,78.5,1
2114,Lucknow,Male,10-20L,School_003,71.9,1
2115,Pune,Male,10-20L,School_003,66.9,1
2116,Pune,Female,5-10L,School_003,74.2,1
