CustomerID,Gender,Country,DeviceType,SubscriptionPlan,Age,TenureMonths,Purchases,Churn
1,Male,Germany,Tablet,Silver,36,62,27,1
2,Male,UAE,Tablet,Basic,18,2,47,1
3,Male,USA,Mobile,Platinum,62,6,55,1
4,Female,India,Desktop,Silver,62,15,47,0
5,Male,Singapore,Mobile,Basic,19,59,20,0
6,Female,Germany,Mobile,Basic,20,61,30,0
7,Male,USA,Tablet,Platinum,60,97,74,0
8,Male,UAE,Desktop,Silver,42,26,43,0
9,Female,UK,Desktop,Platinum,50,50,40,1
10,Female,UK,Mobile,Gold,28,92,63,0
11,Female,India,Tablet,Silver,51,29,73,0
12,Male,USA,Tablet,Basic,40,107,42,0
13,Female,USA,Mobile,Basic,29,100,54,0
14,Male,Singapore,Mobile,Silver,60,31,52,0
15,Male,UK,Desktop,Silver,60,32,31,0
16,Male,Germany,Desktop,Gold,48,8,36,0
17,Female,Singapore,Desktop,Basic,33,22,50,0
18,Female,Singapore,Mobile,Platinum,65,94,61,0
19,Female,USA,Tablet,Silver,64,62,3,0
20,Female,USA,Desktop,Silver,45,63,74,1
21,Female,USA,Tablet,Silver,26,99,1,1
22,Male,Singapore,Mobile,Basic,38,83,31,1
23,Female,Singapore,Desktop,Gold,26,18,18,0
24,Female,India,Mobile,Basic,46,101,18,0
25,Male,Singapore,Desktop,Basic,52,42,50,1
26,Male,UAE,Mobile,Basic,42,26,70,0
27,Male,India,Desktop,Silver,22,51,72,0
28,Male,UK,Tablet,Silver,65,6,31,1
29,Male,UK,Tablet,Platinum,36,105,64,1
30,Male,UAE,Tablet,Basic,56,95,41,0
31,Female,Singapore,Tablet,Silver,53,25,8,0
32,Male,UK,Mobile,Basic,44,14,9,1
33,Male,Singapore,Desktop,Silver,19,88,56,1
34,Female,Germany,Mobile,Basic,21,85,55,0
35,Male,UK,Tablet,Silver,43,93,54,1
36,Male,Germany,Desktop,Basic,32,81,10,0
37,Female,USA,Desktop,Basic,56,114,27,1
38,Female,USA,Desktop,Platinum,42,40,78,1
39,Male,USA,Desktop,Basic,43,92,18,0
40,Male,India,Tablet,Basic,42,96,59,0
41,Male,Singapore,Desktop,Basic,39,48,74,0
42,Female,India,Mobile,Basic,34,109,19,0
43,Male,UAE,Tablet,Basic,42,21,50,1
44,Female,Germany,Desktop,Silver,35,86,22,1
45,Female,India,Mobile,Platinum,31,5,44,0
46,Male,India,Tablet,Silver,43,78,56,1
47,Male,India,Tablet,Basic,37,25,58,0
48,Male,UK,Mobile,Basic,45,68,6,1
49,Female,USA,Desktop,Silver,53,32,28,1
50,Male,Singapore,Tablet,Basic,45,116,24,0
51,Male,Germany,Tablet,Silver,57,63,60,0
52,Male,UK,Mobile,Basic,37,82,80,0
53,Male,Singapore,Mobile,Basic,24,87,24,0
54,Female,UK,Mobile,Basic,55,64,35,1
55,Male,India,Mobile,Basic,40,69,32,1
56,Male,Singapore,Mobile,Gold,51,55,10,0
57,Male,USA,Tablet,Basic,40,78,68,0
58,Male,Singapore,Desktop,Silver,28,111,56,0
59,Female,Singapore,Mobile,Basic,59,116,78,0
60,Female,Germany,Mobile,Platinum,62,102,46,0
61,Female,USA,Tablet,Basic,19,97,48,0
62,Male,UAE,Tablet,Gold,31,29,65,0
63,Female,Singapore,Desktop,Platinum,33,52,76,0
64,Female,UAE,Tablet,Gold,41,74,16,0
65,Female,UAE,Mobile,Platinum,65,27,13,0
66,Female,UAE,Desktop,Basic,33,85,54,1
67,Female,USA,Tablet,Basic,29,56,48,0
68,Female,Germany,Desktop,Basic,47,27,4,1
69,Female,UAE,Desktop,Gold,65,18,28,0
70,Female,USA,Desktop,Basic,60,111,74,0
71,Female,USA,Desktop,Basic,64,71,61,0
72,Male,UK,Mobile,Silver,47,46,49,1
73,Male,UK,Mobile,Basic,34,94,58,0
74,Male,UAE,Desktop,Gold,22,96,39,0
75,Male,USA,Desktop,Basic,57,38,27,0
76,Male,Germany,Tablet,Silver,20,88,42,0
77,Male,USA,Mobile,Basic,34,90,52,0
78,Male,UAE,Tablet,Silver,64,30,76,1
79,Female,UAE,Tablet,Platinum,41,56,2,0
80,Male,UK,Desktop,Gold,58,83,58,0
81,Female,USA,Mobile,Gold,47,108,28,0
82,Female,Germany,Mobile,Basic,35,42,42,0
83,Male,India,Desktop,Basic,27,2,79,0
84,Male,USA,Tablet,Basic,52,83,14,1
85,Male,India,Mobile,Gold,31,69,2,0
86,Male,USA,Tablet,Silver,33,27,55,0
87,Female,UK,Desktop,Gold,61,46,53,0
