CustomerID,Age,MonthlyIncome,ExperienceYears,City,Occupation,CreditScore,LoanApproved
1,41.0,,16,Mumbai,Engineer,824.0,1
2,,138677.0,1,Mumbai,Teacher,596.0,0
3,,41216.0,32,Hyderabad,Analyst,575.0,0
4,30.0,166737.0,8,Hyderabad,Doctor,836.0,1
5,44.0,50540.0,18,Mumbai,Manager,580.0,0
6,50.0,178501.0,25,Delhi,Doctor,677.0,0
7,54.0,,30,Bengaluru,Doctor,587.0,0
8,52.0,135545.0,30,Mumbai,Manager,843.0,1
9,52.0,177016.0,24,Bengaluru,Engineer,,0
10,40.0,176505.0,13,Bengaluru,Doctor,747.0,1
11,60.0,55695.0,35,Mumbai,Teacher,697.0,0
12,26.0,68611.0,1,Bengaluru,Manager,692.0,1
13,47.0,,20,Bengaluru,Teacher,,0
14,58.0,72800.0,34,Delhi,Engineer,624.0,0
15,53.0,39153.0,28,Hyderabad,Analyst,,0
16,25.0,79726.0,0,Pune,Engineer,724.0,1
17,44.0,31684.0,22,Pune,Manager,742.0,0
18,28.0,55239.0,0,Bengaluru,Analyst,795.0,0
19,37.0,150467.0,9,Pune,Manager,561.0,0
20,22.0,163440.0,0,Mumbai,Doctor,815.0,1
21,53.0,111419.0,26,Pune,Manager,649.0,0
22,54.0,154179.0,30,Mumbai,Engineer,693.0,1
23,43.0,120587.0,21,Pune,Engineer,666.0,0
24,60.0,25500.0,35,Delhi,Engineer,611.0,0
25,32.0,138750.0,4,,Engineer,752.0,1
26,29.0,32221.0,6,Hyderabad,Analyst,624.0,0
27,30.0,168827.0,4,Pune,Engineer,557.0,0
28,29.0,138720.0,1,Pune,Teacher,564.0,0
29,37.0,167698.0,12,Pune,Engineer,731.0,1
30,53.0,,27,Pune,Manager,,0
31,30.0,70179.0,7,Bengaluru,Manager,611.0,0
32,27.0,,5,Pune,Teacher,,1
33,25.0,141194.0,1,Hyderabad,Manager,812.0,1
34,53.0,89921.0,26,Hyderabad,Doctor,836.0,1
35,46.0,,22,Mumbai,Teacher,769.0,1
36,30.0,120992.0,7,Delhi,Teacher,789.0,1
37,35.0,67327.0,8,Bengaluru,Manager,756.0,1
38,22.0,113599.0,0,Bengaluru,Analyst,559.0,0
39,28.0,,6,Mumbai,Doctor,689.0,1
40,48.0,92792.0,23,,Manager,,1
41,32.0,136494.0,10,Delhi,Engineer,,0
42,28.0,143954.0,6,Delhi,Manager,763.0,1
43,36.0,53692.0,13,Delhi,Engineer,642.0,0
44,39.0,141834.0,13,,Doctor,,1
45,53.0,169454.0,30,Hyderabad,Analyst,675.0,0
46,52.0,168106.0,24,Bengaluru,Manager,707.0,1
47,29.0,,5,Mumbai,Teacher,557.0,0
48,,124845.0,0,Hyderabad,Doctor,674.0,0
49,21.0,94007.0,0,Delhi,Manager,715.0,1
50,21.0,112905.0,0,Mumbai,Analyst,,1
51,37.0,48528.0,14,Bengaluru,Manager,571.0,0
52,54.0,65698.0,27,Hyderabad,Analyst,716.0,1
53,30.0,36478.0,2,Hyderabad,Analyst,808.0,0
54,22.0,,0,Pune,Engineer,565.0,0
55,,171414.0,27,Mumbai,Manager,675.0,0
56,,165299.0,31,Hyderabad,Engineer,792.0,1
57,34.0,,7,Bengaluru,Analyst,,1
58,33.0,45308.0,7,Pune,Doctor,680.0,0
59,51.0,40901.0,26,Delhi,Engineer,661.0,0
60,,56064.0,24,Pune,Doctor,593.0,0
61,49.0,95426.0,24,Pune,Teacher,588.0,0
62,29.0,158364.0,5,Mumbai,Doctor,668.0,0
63,52.0,143164.0,27,Delhi,Teacher,,1
64,,129401.0,20,Pune,Engineer,698.0,1
65,25.0,,0,Delhi,Engineer,693.0,1
66,36.0,94659.0,11,Hyderabad,Doctor,,0
67,46.0,170267.0,20,Pune,Engineer,575.0,0
68,39.0,152290.0,17,Hyderabad,Teacher,637.0,0
69,37.0,131485.0,10,Pune,Doctor,797.0,1
70,34.0,156230.0,6,Bengaluru,Manager,662.0,0
71,56.0,75438.0,33,Mumbai,Teacher,725.0,1
72,33.0,30264.0,6,Bengaluru,Analyst,761.0,0
73,52.0,97749.0,26,Delhi,Teacher,807.0,1
74,36.0,125810.0,11,,Analyst,,1
75,51.0,178924.0,26,Mumbai,Engineer,750.0,1
76,49.0,90133.0,21,Mumbai,Teacher,629.0,0
77,50.0,47283.0,24,Mumbai,Engineer,614.0,0
78,29.0,,3,Bengaluru,Engineer,600.0,0
79,35.0,25301.0,13,Hyderabad,Doctor,785.0,0
80,54.0,86543.0,28,,Engineer,760.0,1
81,,46257.0,23,Pune,Analyst,739.0,0
82,46.0,76925.0,24,Delhi,Manager,584.0,0
83,35.0,146926.0,12,Delhi,Doctor,605.0,0
84,47.0,39789.0,21,Pune,Analyst,,0
85,24.0,73261.0,0,Bengaluru,Doctor,607.0,0
86,54.0,147582.0,32,Delhi,Analyst,741.0,1
87,26.0,117134.0,1,Mumbai,Manager,656.0,0
88,26.0,37912.0,0,Bengaluru,Teacher,740.0,0
89,,,24,,Teacher,757.0,0
90,37.0,76102.0,10,Mumbai,Manager,,1
91,41.0,,17,Mumbai,Manager,583.0,0
92,45.0,90810.0,20,Bengaluru,Teacher,804.0,1
93,30.0,86903.0,6,Delhi,Analyst,735.0,1
94,31.0,89830.0,6,Mumbai,Engineer,796.0,1
95,25.0,94439.0,0,Mumbai,Teacher,599.0,0
96,29.0,134272.0,4,Hyderabad,Teacher,825.0,1
97,39.0,98242.0,13,Delhi,Doctor,680.0,0
98,30.0,98755.0,4,Pune,Doctor,583.0,0
99,27.0,146612.0,5,Mumbai,Engineer,793.0,1
100,,86051.0,17,Mumbai,Teacher,848.0,1
101,59.0,93143.0,31,Mumbai,Engineer,729.0,1
102,37.0,35023.0,11,Pune,Engineer,717.0,0
103,23.0,,0,Bengaluru,Engineer,758.0,1
104,26.0,67910.0,1,,Analyst,695.0,1
105,43.0,133548.0,18,Mumbai,Doctor,650.0,0
106,31.0,136084.0,9,Mumbai,Analyst,,1
107,56.0,62354.0,29,Bengaluru,Engineer,843.0,1
108,39.0,67418.0,13,Pune,Engineer,605.0,0
109,40.0,,12,Mumbai,Analyst,711.0,0
