CustomerID,Age,AnnualIncome,PurchasesPerYear,WebsiteVisits,CreditScore,AnnualSpend,PremiumCustomer
1,46,246949,72,443,776,38799.9,1
2,50,244145,76,102,489,30596.29,1
3,48,185119,79,411,490,26670.24,0
4,46,99534,19,51,851,20988.07,0
5,56,123850,58,339,461,20169.7,0
6,51,36558,8,23,494,13010.12,0
7,56,27885,100,242,634,38058.77,1
8,55,240837,26,270,539,20615.67,0
9,49,21204,85,48,768,34483.41,1
10,44,164511,120,435,385,34195.02,1
11,38,218702,30,267,595,18335.4,0
12,22,167624,99,60,710,33151.25,1
13,36,121322,9,495,317,8755.64,0
14,31,74976,119,471,353,36862.95,1
15,42,205833,51,219,374,24970.67,0
16,58,72032,100,350,576,35863.06,1
17,23,101581,43,12,719,22947.16,0
18,26,84589,91,56,311,20753.18,0
19,47,228934,63,95,872,32443.87,1
20,46,153396,25,379,434,20556.79,0
21,59,120598,15,207,730,21334.2,0
22,18,90725,111,416,611,34085.45,1
23,31,69101,51,442,890,31747.2,1
24,20,58367,28,231,564,16260.73,0
25,57,106233,107,156,695,34297.47,1
26,22,43623,27,303,548,16325.25,0
27,56,116645,48,323,764,27641.29,0
28,55,146805,107,299,438,34220.61,1
29,29,184428,20,164,533,17692.86,0
30,64,69755,21,383,867,26878.51,0
31,61,121766,113,252,380,34004.53,1
32,21,47220,14,24,824,22586.44,0
33,33,213941,91,205,563,34416.88,1
34,56,148712,38,271,479,17406.42,0
35,26,79872,62,291,375,22613.74,0
36,31,73471,96,13,370,26190.94,0
37,44,136839,32,35,347,12875.68,0
38,36,116674,68,297,434,22209.35,0
39,41,56282,115,235,638,42193.56,1
40,55,56791,76,22,318,24698.58,0
41,40,203755,40,497,334,15281.51,0
42,56,186771,10,251,368,13477.54,0
43,38,55810,10,43,763,25277.62,0
44,41,213201,6,465,432,16623.4,0
45,40,42263,88,247,379,29209.53,0
46,19,246354,64,298,314,23510.71,0
47,42,172745,2,316,373,8872.49,0
48,23,187616,15,136,726,22722.23,0
49,42,212685,89,302,768,40278.37,1
50,47,239773,70,47,831,37660.55,1
51,19,101326,77,49,792,29619.65,0
52,32,203064,15,259,797,24294.13,0
53,18,116456,39,78,507,24044.91,0
54,28,217596,116,180,752,44719.19,1
55,33,105710,52,345,556,24483.42,0
56,58,132956,103,417,505,33275.91,1
57,42,77560,75,476,624,31501.12,1
58,26,55272,64,184,341,17677.54,0
59,35,235445,22,62,761,26673.89,0
60,35,76119,107,216,691,41934.24,1
61,49,196199,41,371,763,30063.4,1
62,22,237245,5,147,342,10705.49,0
63,54,112855,40,337,877,27359.71,0
64,59,55620,52,237,494,19122.24,0
65,35,82235,100,77,348,24369.47,0
66,46,48578,81,279,677,30111.16,1
67,61,71917,26,426,786,27075.83,0
68,29,207229,2,391,783,27239.46,0
69,63,29483,23,120,578,20272.97,0
70,52,202796,67,261,463,27575.59,0
71,62,78700,12,215,697,18590.4,0
72,46,138891,26,325,306,16380.78,0
73,53,169111,84,455,814,40069.22,1
74,47,105581,84,109,401,23251.16,0
75,31,83515,116,204,389,32480.03,1
76,52,227300,120,169,568,32862.6,1
77,40,152309,11,24,751,21855.62,0
78,53,130471,99,145,799,34680.94,1
79,31,232111,112,37,739,34970.22,1
80,29,159754,43,356,443,24691.51,0
81,27,155403,116,375,830,47151.81,1
82,49,171768,89,49,526,32104.54,1
83,51,166479,38,430,875,30179.96,1
84,51,154798,108,469,873,44528.6,1
85,37,195976,49,493,513,25968.95,0
86,27,162792,68,144,886,39020.58,1
87,30,127763,69,63,815,28634.53,0
88,56,118836,4,280,345,15276.67,0
89,43,162605,103,293,424,34854.21,1
90,23,201138,22,38,851,28460.28,0
91,44,229818,119,211,575,36977.64,1
92,48,149246,17,178,744,26189.49,0
93,51,103155,14,103,729,17256.31,0
94,34,53937,90,403,323,23189.87,0
95,30,60771,30,11,590,20635.54,0
96,64,113152,32,322,810,25530.3,0
97,49,211599,75,67,822,34114.2,1
98,63,71833,90,276,747,32606.67,1
99,42,185938,53,427,842,31993.88,1
100,52,73547,111,328,846,42478.09,1
101,51,76668,109,282,900,41764.34,1
102,32,214188,81,419,655,32702.38,1
103,38,178106,41,461,499,22473.21,0
104,30,45391,18,460,545,17806.78,0
105,64,43106,34,203,399,19928.21,0
106,44,162416,102,365,429,30616.83,1
107,43,184624,88,414,318,24044.25,0
108,30,169395,88,188,669,31297.79,1
109,63,152561,82,393,651,37721.12,1
110,61,238352,25,416,372,20502.7,0
111,24,26371,5,395,864,29146.74,0
112,54,146163,19,102,488,13611.33,0
113,31,65217,108,85,589,31535.43,1
114,55,36238,18,492,773,22844.48,0
115,24,105675,51,244,736,33185.35,1
116,40,132743,27,312,682,19888.49,0
117,58,203770,6,437,505,15577.54,0
118,44,139000,47,383,679,30417.0,1
119,30,178563,22,53,824,20593.13,0
120,38,42236,103,436,714,44295.47,1
121,56,70055,65,304,649,29728.11,0
122,35,50480,96,385,463,33680.96,1
123,26,106484,113,280,678,41814.97,1
124,29,126363,27,374,489,16484.73,0
125,39,99086,61,56,310,20202.17,0
126,58,183583,7,123,579,16982.17,0
127,39,76635,85,212,883,37205.27,1
128,52,40141,50,268,809,29942.28,0
129,62,51355,98,207,888,36971.71,1
130,25,181322,14,383,542,18700.64,0
131,46,125265,65,30,500,25845.53,0
132,18,45807,34,133,582,22409.61,0
133,53,161685,66,217,833,39069.37,1
134,24,187251,57,419,378,27437.5,0
135,56,195224,98,494,346,31963.45,1
136,28,121162,61,91,807,36004.32,1
137,57,176385,8,224,806,25626.77,0
138,36,158086,52,311,619,28628.17,0
139,51,94907,62,340,576,32654.81,1
140,36,193956,92,387,603,30558.91,1
141,18,222503,32,304,343,14777.01,0
142,44,217825,88,204,354,26920.65,0
143,65,124273,7,302,626,15778.55,0
144,32,132594,93,249,556,31889.19,1
145,20,157195,13,484,779,23366.39,0
146,33,178236,91,63,351,27849.47,0
147,47,50923,27,445,353,18190.85,0
148,51,60560,16,191,753,20644.12,0
149,60,129307,59,312,568,32113.61,1
150,61,129977,47,403,843,30262.95,1
151,36,212488,17,127,792,21165.98,0
152,50,100898,101,264,667,36669.8,1
153,35,179857,88,376,878,45851.71,1
154,30,185963,36,390,545,21705.93,0
155,33,151635,84,473,500,27354.27,0
156,58,35934,2,143,565,17666.87,0
157,19,183407,5,57,527,18771.81,0
158,35,39003,97,49,464,33551.01,1
159,33,185440,48,252,790,31577.88,1
160,31,108671,44,258,436,17319.34,0
161,25,137259,104,425,518,37624.52,1
162,45,215905,34,204,454,20577.81,0
163,27,191352,108,310,633,37892.7,1
164,53,218963,96,427,488,35339.93,1
165,59,116799,75,54,773,33800.6,1
166,23,162510,11,226,877,30343.02,1
167,49,233726,88,242,606,28545.45,0
168,22,101302,28,471,383,18562.6,0
169,49,210053,98,360,635,36450.11,1
170,27,77344,46,341,634,28015.69,0
171,25,104527,91,230,882,45223.05,1
172,61,93191,57,276,612,30462.38,1
173,38,77989,52,500,828,33283.98,1
174,23,114815,107,192,324,30077.63,1
175,61,123706,75,203,499,32083.41,1
176,41,228950,50,281,458,27840.9,0
177,54,66475,23,50,765,23408.95,0
178,19,77996,67,34,857,31511.99,1
179,54,97562,3,338,732,17788.12,0
180,55,163344,40,408,858,28617.69,0
181,39,41409,36,382,407,19934.82,0
182,23,26805,82,339,447,25296.61,0
183,65,233975,84,221,551,29741.95,0
184,49,220632,117,272,646,42348.26,1
185,43,111865,44,418,640,24726.73,0
186,49,147937,69,417,374,21158.87,0
187,44,218455,106,346,657,33772.91,1
188,42,238582,12,459,775,29553.16,0
189,58,26382,68,190,310,18363.76,0
190,44,130220,118,79,551,33565.44,1
191,58,118440,88,90,628,30844.88,1
192,42,131396,68,154,580,24204.79,0
193,48,100856,94,63,610,30422.71,1
194,29,36343,97,239,317,31938.69,1
195,48,229821,5,165,411,11191.64,0
196,29,114193,28,306,541,26071.39,0
197,63,143709,77,265,529,31732.42,1
198,29,93678,52,93,619,29748.36,0
199,53,145695,110,138,796,42691.39,1
200,39,193080,71,400,394,29123.16,0
201,32,124706,7,116,437,14669.41,0
202,51,228327,67,401,581,26198.65,0
203,60,82289,115,10,783,41606.58,1
204,46,228869,32,370,731,32381.74,1
205,28,128992,21,400,629,20333.98,0
206,34,247867,104,269,434,31583.73,1
207,51,160136,7,82,885,22282.27,0
208,18,73556,106,474,452,31422.11,1
209,23,112203,35,319,840,26667.41,0
210,48,201847,60,47,900,37982.69,1
211,50,99585,3,409,492,18142.17,0
