PropertyID,AreaSqft,Bedrooms,PropertyAge,DistanceToCity,CustomerIncome,AnnualOnlineSpend,HousePrice
1,3809,4,12,21.18,90361,32871.09,841306.0
2,1591,1,16,25.65,169149,153285.15,400076.0
3,1235,5,31,7.38,219327,44279.78,903641.0
4,2275,3,24,30.22,85729,92121.94,316236.0
5,4280,6,11,29.82,118816,32590.13,978940.0
6,4831,6,5,16.68,135545,34602.4,1276690.0
7,2706,5,0,15.17,125035,61612.89,965176.0
8,1162,4,33,31.56,188730,64728.23,430194.0
9,920,3,8,7.95,217470,33551.99,653295.0
10,4118,5,11,33.06,203093,6922.37,1033849.0
11,803,1,1,6.41,209271,32307.85,583006.0
12,1164,4,40,3.47,111214,58675.56,471793.0
13,3621,3,8,18.56,82637,36917.84,714856.0
14,2232,4,16,19.32,246303,49978.14,847648.0
15,3398,6,30,32.32,64321,43885.75,759641.0
16,1732,5,26,4.79,61120,13299.67,606180.0
17,2924,2,11,14.64,84415,67371.14,693523.0
18,3114,4,14,29.69,60726,24196.01,578510.0
19,2023,6,4,17.79,32922,25563.08,698039.0
20,890,3,13,13.51,118278,54921.89,430338.0
21,3661,4,23,18.94,77507,21760.87,727568.0
22,3555,6,25,27.09,90348,43618.16,842152.0
23,2351,6,19,4.15,210324,19949.18,1159323.0
24,2290,6,15,13.73,144851,31848.06,853146.0
25,4086,4,16,2.9,106816,27960.82,1150354.0
26,4408,5,8,32.58,97327,26281.49,956097.0
27,2882,4,39,6.0,129341,20506.02,946849.0
28,4104,2,24,12.12,81814,35186.36,835447.0
29,535,6,22,24.45,80666,39534.52,283231.0
30,2637,6,26,26.13,215141,69436.43,913999.0
31,3844,3,25,0.62,161506,24302.3,1201886.0
32,2158,1,33,11.21,206239,37680.28,601270.0
33,4687,4,13,9.6,223704,170266.04,1446139.0
34,4334,5,33,22.1,231290,47775.84,1307343.0
35,2855,2,1,34.98,241386,50914.31,714521.0
36,1119,5,2,33.66,139254,49184.5,418577.0
37,3524,5,40,33.22,184143,11014.81,904675.0
38,2918,2,6,34.72,238042,30615.58,730142.0
39,3764,2,16,16.4,63677,8120.99,654326.0
40,4158,6,24,14.93,217444,66365.05,1319048.0
41,3447,3,13,9.94,180120,119395.77,1052730.0
42,2004,4,36,31.31,154873,25080.62,431174.0
43,1112,5,15,34.9,167147,124795.86,344694.0
44,1440,3,31,2.99,201752,16562.14,664856.0
45,4866,3,40,0.91,113646,15766.55,1210763.0
46,2642,2,8,20.79,42448,53471.94,451116.0
47,796,1,21,18.14,175559,20512.98,280304.0
48,1798,4,3,24.5,139502,25651.24,559832.0
49,2044,1,31,6.43,102218,77680.37,487922.0
50,1078,5,12,27.26,75518,18356.29,344671.0
51,4882,1,7,25.5,246287,29807.19,1070235.0
52,1730,5,5,1.64,164409,33454.78,974954.0
53,1864,3,14,21.72,229374,47333.95,663861.0
54,3286,1,21,28.43,144330,60629.46,515260.0
55,3018,2,7,5.56,198532,33775.81,1049224.0
56,602,2,24,32.13,237953,15691.99,212125.0
57,2428,5,28,25.79,187930,73645.98,710438.0
58,1822,2,28,13.37,112154,271781.1,522308.0
59,873,5,25,1.2,71635,64486.99,515808.0
60,592,3,35,10.7,62402,53767.69,257055.0
61,4002,1,2,12.7,188985,27918.66,1013115.0
62,3240,6,20,28.29,39061,30440.43,700579.0
63,2717,5,14,19.41,211831,13729.07,912662.0
64,2865,6,25,14.96,217593,55945.46,1096090.0
65,1926,5,26,34.71,85617,33022.65,356771.0
66,2628,2,36,3.74,31132,89458.8,590682.0
67,735,2,8,31.57,77119,17572.74,22464.0
68,1001,3,11,20.5,142886,94375.1,355971.0
69,526,6,2,17.85,146980,29232.32,527844.0
70,1856,5,14,12.28,64626,23676.02,669321.0
71,1245,3,32,6.02,222317,25895.54,780671.0
72,4470,2,6,15.55,82868,23711.4,871238.0
73,1602,4,15,6.45,209962,8418.32,853131.0
74,1874,6,33,23.69,162251,56813.28,760944.0
75,1132,2,15,18.59,210118,62443.21,526277.0
76,3739,5,35,3.0,95666,88876.1,1078296.0
77,3237,4,12,3.85,194589,59497.72,1097397.0
78,813,4,3,11.37,43099,57479.53,363867.0
79,2016,3,16,0.85,169018,11215.46,850135.0
80,2107,6,23,4.44,120326,41281.8,939668.0
81,1665,6,19,18.81,81934,16428.01,639440.0
82,956,1,22,8.49,189453,29870.9,393637.0
83,3609,1,22,32.98,128373,96532.39,498820.0
84,4909,2,4,1.24,76122,37143.85,1124526.0
85,2319,3,39,9.33,48470,5828.05,415594.0
86,4055,1,27,3.29,220567,18013.84,1137485.0
87,4572,4,35,30.72,231241,24409.86,1158396.0
88,2653,3,22,28.39,101636,31009.21,543374.0
89,2494,1,2,8.08,115475,70025.63,593771.0
90,2719,3,39,22.06,85743,65234.84,525123.0
91,4143,5,1,21.27,98661,64119.51,975173.0
92,3641,1,1,10.24,230426,42728.22,1096104.0
93,3988,3,32,34.87,188589,29537.76,850716.0
94,1367,3,25,27.24,47857,28192.94,224828.0
95,2791,4,31,12.18,186069,49142.55,857671.0
96,662,1,36,3.38,64000,69826.65,196084.0
97,2075,4,37,20.47,35135,107671.88,318944.0
98,3124,2,13,23.54,58028,38775.21,420230.0
99,4020,3,11,29.41,244683,44639.66,1032239.0
100,1951,6,26,4.11,78426,102724.05,830455.0
101,3663,6,6,3.18,167989,16969.63,1358820.0
102,2549,6,10,26.48,220738,64525.38,924947.0
103,787,6,38,29.08,95749,20919.47,334313.0
104,3704,2,18,21.12,87017,110820.62,724808.0
105,3011,4,16,17.75,196335,97161.81,921980.0
106,4263,3,9,7.07,163796,114843.96,1146843.0
107,4616,2,39,12.75,165278,106843.36,969936.0
108,2357,5,27,27.46,180185,65409.67,644197.0
109,3266,6,25,20.53,51587,17744.55,712458.0
110,3957,1,27,16.3,51930,51345.91,530776.0
111,2098,1,15,10.81,60023,67982.99,351396.0
112,2612,6,19,6.48,175482,50723.59,1076160.0
113,1229,5,7,11.67,249549,33517.69,886429.0
114,2939,4,21,17.89,146131,40531.24,809166.0
115,4428,5,39,12.56,121254,47634.74,1076094.0
116,852,6,20,24.5,175047,17705.69,550152.0
117,2209,6,33,21.37,218313,58419.21,943640.0
118,1840,5,22,19.73,220968,53553.54,876138.0
119,4873,3,1,1.07,185579,33116.87,1452646.0
120,1751,2,27,2.08,169967,57961.02,692925.0
121,2899,3,11,19.6,211675,82006.01,833320.0
122,4999,3,2,23.54,119958,17824.57,1092309.0
123,2127,6,10,1.89,194817,101667.99,1084055.0
124,4389,4,27,30.43,172814,73970.73,988962.0
125,3552,5,24,9.43,83419,73443.91,983244.0
126,1602,1,16,24.0,31176,72994.01,101109.0
127,3698,3,37,8.67,62564,59879.85,864171.0
128,2870,3,26,31.38,65359,36332.02,356743.0
129,2852,6,1,19.41,170258,21735.31,1026705.0
130,1666,2,26,18.57,63642,51984.77,255822.0
131,2984,4,24,3.69,120602,39856.28,869746.0
132,4530,2,30,22.97,161016,22346.91,910833.0
133,2479,5,2,4.88,242655,124460.08,1155290.0
134,3408,5,8,33.8,123134,65406.05,840512.0
135,829,1,0,29.07,219874,29213.23,234216.0
136,4194,2,33,26.79,160185,12063.04,715628.0
137,2274,6,2,21.45,70806,20198.22,740626.0
138,2011,2,35,16.29,248714,51124.26,778521.0
139,670,6,2,10.9,193892,30320.83,720124.0
140,2541,5,25,29.77,229157,14440.13,884070.0
141,1615,3,36,12.53,69224,43775.25,309152.0
142,3200,5,23,19.0,82662,32496.27,823088.0
143,2662,2,32,9.27,50806,27396.38,535547.0
144,3878,6,16,33.55,109513,15192.6,932144.0
145,500,5,11,27.08,37948,45902.07,143499.0
146,2398,2,1,6.0,88297,17140.79,671812.0
147,2595,3,25,12.87,72296,31292.83,581756.0
148,3568,2,0,5.87,151545,81829.81,1056694.0
149,2774,6,30,22.23,221762,86780.39,972573.0
150,3184,5,9,24.33,42649,33201.24,741414.0
151,3768,5,37,5.79,152445,4206.48,1128223.0
152,4597,1,25,34.5,232676,61614.73,904837.0
153,4857,3,21,34.22,214559,18953.55,976614.0
154,1233,2,40,26.68,238335,13692.99,419817.0
155,1783,2,26,33.6,90313,60958.49,169790.0
156,1161,2,3,25.5,52585,9948.23,182547.0
157,3610,2,16,15.6,162552,59798.13,801517.0
158,1994,6,35,34.74,142369,68429.31,618134.0
159,4059,3,17,25.92,74206,51629.9,684578.0
160,4442,5,23,24.34,65601,42053.22,966423.0
161,4137,4,11,16.19,165969,33572.96,1177031.0
162,2957,5,28,21.71,234211,25882.81,951885.0
163,4464,1,29,7.15,120556,17028.04,990237.0
164,595,4,27,31.16,112409,190613.3,92682.0
165,2100,2,7,32.68,173602,26602.84,484673.0
166,4931,1,7,4.86,225227,19026.3,1298208.0
167,1596,2,16,1.2,214879,34020.72,730411.0
168,855,2,2,7.14,188162,54410.16,552716.0
169,2247,5,0,6.84,99296,74201.51,915822.0
170,3387,3,22,32.05,118512,30957.99,590017.0
171,2894,1,28,4.11,182494,31786.54,753366.0
172,2248,4,18,27.12,249628,20726.92,821133.0
173,3286,2,30,12.03,109062,30355.41,761098.0
174,4549,1,30,1.49,170494,66549.78,1200486.0
175,1238,3,6,34.34,37403,34769.85,108907.0
176,3556,6,0,6.53,124094,28086.29,1245691.0
177,3277,6,17,33.6,224958,40933.22,995124.0
178,3695,2,38,29.06,204412,21011.44,752132.0
179,4911,1,5,23.55,48890,8022.1,695541.0
180,2156,1,22,13.91,114111,25832.52,431281.0
181,2511,1,8,19.59,240501,4481.99,811280.0
182,3748,2,0,30.52,112413,30178.52,643208.0
183,3588,3,31,25.86,76868,48440.02,570681.0
184,687,6,3,5.86,110006,72496.19,697030.0
185,4344,2,3,5.22,200636,52623.76,1264334.0
186,2620,2,20,32.44,46356,37249.68,240143.0
187,2575,4,7,28.96,51997,17712.63,545726.0
188,1941,1,40,20.91,80554,16828.54,212594.0
189,4511,4,23,5.32,191490,31350.82,1323116.0
190,2258,4,32,16.15,139138,19820.66,646450.0
191,4156,2,18,18.39,217401,18517.69,1025519.0
192,3285,4,13,3.97,214408,37468.54,1143462.0
193,1931,1,12,9.89,144653,20006.22,476076.0
194,1079,1,10,1.04,52966,10180.66,280003.0
195,1110,1,5,1.16,100556,31168.49,459361.0
196,3569,2,28,13.8,42296,18680.57,649702.0
197,1972,4,12,18.18,114055,52171.68,548884.0
198,3403,2,19,23.25,110546,89840.13,714594.0
199,849,6,13,23.67,41675,61821.14,388193.0
200,3090,6,15,21.62,59023,49291.79,780563.0
201,3910,6,13,4.77,72844,94461.11,1219202.0
