HouseID,Area_sqft,Bedrooms,Bathrooms,Age_Years,Garage,Price
1,3219,1,1,23,1,430878
2,1514,2,1,21,2,360662
3,956,5,4,1,0,444500
4,1495,2,1,17,0,310750
5,3261,5,4,7,1,811056
6,1739,1,2,22,1,298277
7,1738,2,2,30,1,296956
8,979,4,1,11,1,389111
9,1683,1,4,17,0,329075
10,922,5,3,26,2,496710
11,2081,5,2,22,0,460726
12,3308,2,3,2,0,545198
13,2156,3,4,20,1,490039
14,2116,3,2,21,1,493408
15,3399,1,2,17,2,537467
16,1269,4,4,8,2,572478
17,2881,2,3,26,0,450741
18,731,3,4,8,0,315373
19,2923,3,2,20,1,552616
20,3233,4,2,8,0,610285
21,2899,5,3,23,2,716535
22,2990,4,3,7,0,648084
23,2621,1,1,27,0,297053
24,3170,2,4,19,0,553332
25,2163,5,4,16,1,652072
26,647,1,3,24,2,232227
27,1056,3,4,5,1,374645
28,1678,5,2,16,0,503319
29,1822,5,2,4,1,608583
30,1261,5,1,19,1,437862
31,679,1,3,28,1,172865
32,837,2,1,2,2,319139
33,883,5,2,4,2,498256
34,2851,2,3,16,2,577581
35,1467,5,2,22,1,473336
36,3351,3,4,28,2,691297
37,1095,2,2,2,1,279157
38,3009,5,2,18,0,577022
39,890,1,2,2,0,205109
40,890,5,2,8,2,490424
41,1477,5,2,23,2,535265
42,2536,2,4,25,1,476777
43,986,1,4,11,1,304703
44,2512,1,1,1,1,464388
45,1989,1,2,6,0,353972
46,2437,2,4,5,1,550577
47,1623,1,4,25,2,345093
48,807,5,1,2,0,343638
49,2264,4,4,6,1,574365
50,1274,4,1,12,1,402518
51,1768,4,4,4,0,511050
52,1491,1,1,23,1,198912
53,805,5,4,16,2,477235
54,832,5,1,27,0,271321
55,3037,1,2,12,0,469108
56,1608,5,1,19,0,430408
57,3292,5,3,29,1,679312
58,3343,3,2,8,1,598314
59,3351,3,4,10,0,598340
60,2477,5,1,2,2,630178
61,2672,3,2,29,1,457156
62,1600,3,3,5,1,480700
63,3481,3,1,21,2,614460
64,3317,1,2,8,0,452069
65,2866,2,3,9,2,569027
66,2004,2,3,16,1,413394
67,808,1,4,26,1,197738
68,614,3,2,20,1,244858
69,2409,5,4,17,0,581243
70,908,2,1,26,1,240310
71,2863,2,4,4,0,543964
72,2093,1,3,6,2,438866
73,3331,1,3,24,2,562984
74,3142,2,2,27,0,442746
75,2288,1,2,23,1,371024
76,3343,2,3,5,2,622828
77,2166,1,4,7,0,422752
78,2032,3,2,7,0,472851
79,1391,4,3,8,0,423505
80,2038,5,4,21,2,635464
81,713,1,3,5,2,277855
82,756,1,4,11,2,304334
83,2387,5,1,12,2,591354
84,1643,1,4,0,2,467735
85,3413,2,3,13,0,604122
86,1952,5,3,21,0,566079
87,1830,5,3,21,1,539853
88,2248,3,2,6,1,541913
89,2152,2,3,12,2,448293
90,1844,3,2,13,2,508296
91,3281,3,4,14,1,707275
92,1475,5,4,25,2,536741
93,3298,1,3,16,2,608720
94,3136,3,1,26,0,529504
95,1871,2,2,4,0,330577
96,1602,4,1,14,1,459784
97,2957,2,4,15,1,559319
98,1204,1,1,24,1,183163
99,1320,5,4,1,2,588562
100,1097,4,2,25,1,406640
