id,open_il_24m
1077501,C
1077430,A
1077175,A
1076863,A
1075358,A
1075269,A
1069639,C
1072053,C
1071795,A
1071570,C
1070078,A
1069908,A
1064687,C
1069866,B
1069057,C
1069759,A
1065775,A
1069971,C
1062474,C
1069742,B
1069740,C
1039153,B
1069710,A
1069700,A
1069559,C
1069697,B
1069800,A
1069657,A
1069799,A
1047704,B
1032111,B
1069539,C
1065420,C
1069591,C
1069530,C
1069522,A
1069361,C
1069357,B
1069356,A
1069346,C
1067573,A
1069506,A
1069314,A
1060578,C
1069469,C
1051117,B
1069465,B
1069283,A
1069287,A
1069453,B
1069248,C
1068120,A
1069244,C
1069243,C
1069238,C
1069410,A
1068409,A
1068487,A
1043961,C
1068945,A
1069142,C
1068934,A
1069136,A
1068923,C
1069126,B
1069102,B
1069093,A
1069030,C
1068906,A
1069073,A
1069043,A
1060981,A
1069071,A
1069070,A
1068893,C
1068882,C
1069039,C
1068416,A
1068997,A
1048390,A
1068994,C
1068475,C
1068989,A
1068967,A
1068744,A
1045509,A
1063958,A
1041756,A
1068694,A
1068792,B
1068558,A
1068322,B
1065674,A
1068547,C
1068545,A
1068575,A
1049528,A
1068542,A
1068350,A
1067874,A
1068509,C
1034693,A
1068508,C
1066641,A
1068315,B
1068309,A
1068326,A
1066767,A
1068484,A
1068292,C
1068273,B
1068274,C
1068440,C
1046456,C
1068012,B
1055725,A
1061814,A
1068232,C
1068405,A
1068395,A
1068202,C
1068006,C
1068075,C
1065642,C
1068179,B
1068158,C
1068180,B
1065673,C
1068159,A
1068165,A
1059689,A
1066215,A
1063270,C
1067931,A
1067922,A
1067919,A
1068106,A
1068111,A
1067655,A
1060662,C
1061304,C
1068095,C
1067182,A
822464,C
1063526,A
1068091,A
1068090,C
1068082,A
1068078,C
1057633,A
1046204,A
1067794,C
1067816,B
1068018,C
1052996,A
1067818,A
1064842,A
1067109,A
1067971,C
1057518,A
1067473,A
1062177,A
1067447,C
1059412,A
1062608,B
1067664,A
1067441,C
1067654,C
1067644,A
1062288,B
1067434,C
1067419,B
1067601,A
1067579,A
1067563,A
1067364,C
1067152,A
1062471,A
1066842,A
1067126,A
1067326,C
1066789,A
1067324,A
1067102,C
1046969,A
1067084,A
1067090,A
1060875,A
1067265,A
1067287,A
1067066,A
1067283,B
1067266,C
1066635,A
1067026,A
1067038,C
1067030,C
1065350,C
1067028,B
1061877,A
1067018,A
1067223,A
1067004,A
1031265,B
1066835,C
1067181,A
1067179,A
1067172,A
1066712,A
1066706,A
1066836,C
1066826,A
1063280,A
1057447,C
1040867,A
1065232,A
1052492,C
1066664,C
1066659,B
1066763,A
1066798,A
1066639,C
1066633,C
1060644,C
1066766,A
1066613,A
1065648,C
1066768,B
1066617,A
1062015,A
1066598,C
1066503,A
1066530,A
1066520,A
1065929,C
1066582,A
1066348,A
1061430,B
1061519,C
1066344,A
1066480,A
1066471,A
1064063,A
1066318,A
1066453,C
1063090,B
1061406,A
1066278,B
1066281,C
1056150,A
1066434,A
1048526,A
1028566,A
1066424,A
1066212,A
1066232,A
1056219,C
1066199,B
1060851,A
972383,C
1066191,A
1066173,C
1066379,C
1066364,A
1066140,A
1066171,A
1066162,A
1040154,C
1066155,A
1065382,A
1063447,A
1065932,A
1065936,A
1066112,A
1066084,C
1066081,A
1065896,C
1066065,A
1066071,C
1062094,C
1061154,A
1066061,A
1065863,B
1065862,B
1065854,A
1065145,C
1062260,A
1065842,C
1066018,A
1049352,A
1066016,A
1065997,C
1061891,A
1065752,A
1063126,A
1065738,A
1061467,A
1065721,C
1065717,A
1065026,B
1057001,C
1065513,A
1065698,C
1065681,A
1061788,A
1065484,C
1061681,C
1065661,A
1065663,C
1065480,A
1065658,A
1065447,A
1065470,C
1065467,C
1065649,C
1065430,C
1059462,C
1064102,C
1062399,A
1065572,A
1065567,A
1065342,C
1065355,C
1058717,A
1065348,A
890389,C
1065142,A
1065320,C
1065304,C
1065180,A
1065298,A
1064904,C
1064696,C
977277,C
1065260,C
1059734,C
1065110,A
1047987,A
1065104,A
1065103,A
1065254,C
1064873,B
1065244,A
1064969,C
1059620,A
1032978,A
1065234,A
1064958,C
1065196,A
1065199,A
1065195,A
1065020,A
1065016,B
1064924,B
1064940,C
1064932,C
1062248,C
1064985,A
1064926,C
1064908,A
1059118,A
1064897,A
1064754,C
1060082,A
1064736,C
1064727,A
1042668,A
1064862,A
1064711,A
1032875,C
1064830,A
1064681,C
1064383,A
1064675,A
1064666,A
1064639,B
1064636,A
1064805,C
1064635,C
1064793,A
1056865,C
1064783,A
1064623,A
1064792,B
1062701,A
1064781,A
1064774,A
1053765,A
1064608,C
1064589,A
1064558,A
1064585,C
1064548,A
1064462,C
1064582,A
1064579,A
1046511,C
1029191,A
1064527,C
1064567,A
1064500,C
1063899,C
1057598,A
1052002,C
1064323,A
1064317,B
1064471,A
1060374,A
1064452,A
1064453,A
1064284,C
1063081,A
1064251,A
1064407,C
1035800,C
1063678,A
1059751,C
1064386,A
1055800,B
1064221,A
1064210,C
1064209,A
1064366,B
1064216,A
1064150,C
1056864,A
1064146,C
1064183,A
1064185,C
1064126,A
1029473,B
1057239,C
1064128,A
1063949,B
1064166,A
1064133,A
1064094,C
1063505,C
1063528,A
1063912,A
1064082,A
1063892,C
1064061,C
1063876,A
1042841,A
1063864,C
1064051,A
1063847,A
1062833,A
1062032,A
1063843,A
1063828,C
1064006,C
1063729,A
1062625,A
1062070,A
1063964,C
1063804,C
1063751,C
1063982,A
1063972,A
1063785,C
1063788,A
1063485,B
1063781,A
1057766,A
1063778,A
1062818,C
1042037,A
1063518,A
1063515,C
1063524,C
1063519,C
1063521,C
984879,A
1063509,C
1063693,A
1063700,C
1056934,A
1063246,C
1057424,A
1063680,A
1063679,A
1063034,C
1063448,C
1063431,C
1060804,C
1027771,A
1063653,A
1063421,C
1062855,C
1062490,A
1063626,A
1063407,C
1063609,C
1063602,A
1063393,A
1063388,A
1063582,C
988402,A
1063564,B
1063121,C
1063275,C
1057756,A
1059960,A
1059525,A
1062577,C
1053188,A
1063098,A
1063238,A
1062043,A
1063228,C
1039993,A
1063197,A
1063069,A
1063062,A
1063199,A
1063187,B
1063040,A
1063020,A
1062929,A
1063003,A
1063001,A
1062997,A
1061315,C
1062808,A
1062918,C
1062983,A
1061530,A
1035958,A
1062894,C
1062895,A
1062976,C
1061972,A
1062897,B
1062857,A
1059828,A
1059486,A
1062887,C
1062851,A
1062756,A
1062844,A
1062753,A
1062873,B
1062860,C
1062738,A
1062864,C
1062734,A
1052370,A
1058564,C
1062584,B
1062253,C
1062795,A
1062614,A
1061378,C
1062781,C
1023158,A
1062654,C
1062665,A
1062555,A
1062606,B
1062643,A
1062535,A
1062536,A
765927,A
1031451,C
1062612,A
1062510,A
1062508,C
1036838,C
1062478,A
1055974,A
1062462,A
1062458,A
1062454,A
1060762,A
1062564,A
1061570,A
1062418,C
1062413,A
1062330,A
1062414,C
1060966,A
1062401,B
1057454,C
1062179,A
1062293,C
1062384,C
1031348,A
1062268,A
1062161,C
1062369,C
1061409,A
1061705,A
1062146,A
1058699,B
1062150,C
1062257,C
1061420,B
1062250,A
1020855,B
997521,A
1058624,B
1062232,A
1062235,A
1060429,A
1062102,C
1060885,B
1060630,A
1062192,A
1059016,A
1056174,A
1062045,A
1059395,A
1062012,A
1061941,A
1031266,C
1061975,A
1061914,C
1061750,C
1061741,A
1061747,A
1040188,C
1057749,A
