batch_id,batch_fee_revenue,session_duration_minutes,monthly_queries,mock_test_avg,profit_margin_pct
5001,13690.0,40.3,8,48.0,4.75
5002,30404.0,40.2,7,63.0,16.96
5003,10487.0,103.0,3,59.0,-2.34
5004,20125.0,6.7,1,55.7,-5.22
5005,22630.0,19.5,5,50.1,-13.54
5006,36939.0,7.3,2,87.8,-6.44
5007,21667.0,37.8,5,64.1,11.28
5008,9789.0,49.3,4,60.4,-3.19
5009,23790.0,55.7,4,44.1,-5.2
5010,11817.0,44.4,5,77.9,7.43
5011,6213.0,22.4,5,78.0,-5.03
5012,17843.0,108.0,1,62.3,-2.79
5013,1709.0,45.2,6,47.6,-3.23
5014,9064.0,32.2,1,71.3,7.43
5015,3096.0,19.2,2,64.3,-2.25
5016,24913.0,48.3,4,46.6,-0.6
5017,7034.0,27.9,2,89.8,2.21
5018,22197.0,28.6,3,73.2,-12.45
5019,19787.0,42.4,3,52.3,1.58
5020,11308.0,42.6,2,54.5,-12.22
5021,17256.0,22.8,1,74.0,-6.85
5022,28206.0,79.2,4,78.9,-0.47
5023,7601.0,20.4,4,71.7,4.74
5024,2246.0,19.1,2,70.9,1.43
5025,19561.0,44.8,5,60.0,13.05
5026,33375.0,40.2,4,89.9,4.71
5027,20919.0,38.8,1,61.4,8.72
5028,25839.0,29.0,3,67.5,-0.57
5029,20732.0,38.1,1,69.5,-2.06
5030,2142.0,26.5,7,61.4,18.49
5031,10911.0,13.8,5,74.4,-10.89
5032,9293.0,57.7,4,83.8,13.99
5033,17197.0,20.2,1,37.9,-3.03
5034,20520.0,32.3,3,62.4,9.54
5035,19094.0,57.5,3,80.3,-7.8
5036,27992.0,37.6,2,82.1,8.0
5037,11578.0,192.0,5,59.3,6.42
5038,31035.0,16.0,1,73.2,-15.06
5039,2790.0,23.6,2,67.3,-2.08
5040,18736.0,39.0,5,66.8,9.32
5041,5405.0,83.5,2,57.4,12.61
5042,4086.0,31.9,4,77.3,6.25
5043,31805.0,15.7,2,79.7,-1.39
5044,10447.0,73.4,4,84.5,3.17
5045,16016.0,21.2,4,68.4,-7.86
5046,47054.0,32.8,6,66.8,-5.17
5047,8233.0,62.6,2,78.9,5.61
5048,37201.0,24.7,2,100.0,3.59
5049,7016.0,28.1,3,62.4,9.86
5050,13162.0,49.4,2,64.2,5.22
5051,7095.0,32.6,3,86.7,8.79
5052,16773.0,43.8,6,51.5,2.74
5053,11172.0,20.9,1,34.5,9.06
5054,8916.0,34.3,3,77.3,25.38
5055,11461.0,19.1,7,82.3,-5.01
5056,32409.0,14.4,1,81.5,4.92
5057,49106.0,105.5,2,77.6,-0.38
5058,9113.0,48.3,3,78.8,8.14
5059,32212.0,63.7,2,57.0,7.85
5060,6525.0,20.6,8,78.2,-3.37
5061,20487.0,36.1,5,53.3,5.18
5062,10730.0,32.5,3,46.4,5.68
5063,15416.0,15.7,3,62.7,2.87
5064,13563.0,51.0,6,49.7,6.65
5065,9450.0,23.8,3,52.0,16.14
5066,1198.0,32.5,4,57.5,9.3
5067,23358.0,14.8,3,60.3,1.64
5068,20264.0,66.6,7,67.1,6.07
5069,32183.0,57.9,2,52.8,21.64
5070,26836.0,46.4,2,58.0,-1.49
5071,7344.0,21.3,5,63.4,13.91
5072,8901.0,26.6,6,67.1,-1.9
5073,8441.0,76.4,3,71.0,-10.14
5074,16104.0,31.1,1,74.6,-2.11
5075,1700.0,43.1,4,68.0,7.0
5076,15799.0,39.9,2,70.7,1.9
5077,20236.0,18.8,2,73.4,-2.21
5078,7168.0,91.6,3,65.0,-2.95
5079,22774.0,11.2,2,67.4,-4.53
5080,49634.0,42.0,6,54.1,-5.43
5081,17721.0,34.8,6,68.0,-1.41
5082,19988.0,13.9,3,77.2,-18.08
5083,15531.0,44.8,2,57.2,7.74
5084,3057.0,50.1,4,81.2,6.49
5085,28836.0,37.8,2,59.0,4.81
5086,14678.0,22.3,2,78.3,11.97
5087,20796.0,48.1,6,85.6,-1.34
5088,16782.0,71.6,1,68.0,3.84
5089,14317.0,41.9,3,60.5,-19.1
5090,11706.0,103.2,4,70.7,5.56
5091,17755.0,61.4,3,60.4,0.35
5092,20283.0,58.2,2,54.2,9.23
5093,24765.0,84.5,8,77.9,11.37
5094,7097.0,24.7,7,41.9,2.3
5095,8320.0,26.8,4,76.2,-7.31
5096,8239.0,50.0,4,55.8,6.83
5097,6367.0,50.1,1,76.5,11.32
5098,13796.0,90.8,2,59.0,11.9
5099,13420.0,73.0,8,87.4,-0.8
5100,41671.0,40.8,7,59.1,-4.32
5101,18914.0,41.9,7,37.9,1.42
5102,3265.0,31.2,2,100.0,-5.39
5103,26511.0,29.6,9,65.5,-15.25
5104,16215.0,28.1,3,63.6,6.99
5105,14183.0,63.4,4,65.0,7.63
5106,17118.0,27.8,2,61.2,9.55
5107,20981.0,29.8,3,68.7,-3.82
5108,23296.0,40.6,3,55.9,3.38
5109,4943.0,27.2,5,91.7,-7.01
5110,39575.0,32.2,3,56.6,-9.37
5111,8685.0,10.0,5,73.0,7.85
5112,9171.0,46.4,3,81.4,-12.43
5113,14280.0,30.9,3,62.4,0.65
5114,15412.0,41.7,3,75.7,24.49
5115,7350.0,46.4,2,58.5,14.43
5116,3003.0,12.2,6,53.0,9.65
5117,23807.0,158.0,2,55.3,9.06
5118,13075.0,41.3,4,78.3,1.93
5119,10789.0,42.0,2,77.9,-1.52
5120,14942.0,13.0,2,54.0,21.55
5121,9378.0,55.4,3,77.5,2.0
5122,20164.0,49.1,2,54.1,-1.49
5123,3158.0,31.1,1,67.3,9.64
5124,11270.0,45.0,4,73.6,3.24
5125,26349.0,84.2,4,40.0,15.28
5126,9477.0,32.1,3,72.6,-1.81
5127,25603.0,22.9,3,61.4,-3.51
5128,27341.0,87.9,7,47.0,0.25
5129,22526.0,46.5,7,73.3,17.99
5130,23475.0,35.8,3,68.5,12.09
5131,1350.0,158.6,3,69.3,6.2
5132,20646.0,43.9,3,61.6,4.7
5133,17519.0,36.0,5,56.7,6.95
5134,36463.0,46.9,2,48.9,-4.68
5135,19238.0,31.4,2,62.1,8.44
5136,4414.0,45.4,4,52.0,-0.42
5137,17259.0,43.7,1,59.4,6.01
5138,20563.0,26.9,4,69.7,4.16
5139,1755.0,34.1,1,74.5,6.67
5140,16245.0,48.0,3,70.0,-0.09
5141,15117.0,50.1,7,68.3,12.42
5142,18800.0,56.4,2,61.5,7.17
5143,29557.0,63.6,5,76.3,-2.8
5144,16605.0,46.1,4,79.1,7.9
5145,5124.0,54.1,4,58.8,1.01
5146,36171.0,31.5,5,59.5,7.42
5147,10622.0,33.9,5,52.9,11.52
5148,8952.0,73.7,4,61.2,-0.27
5149,7571.0,12.1,6,59.5,3.76
5150,2775.0,49.2,6,88.6,4.64
5151,8706.0,262.2,3,81.3,4.39
5152,11153.0,12.9,1,48.3,22.02
5153,14970.0,96.4,4,74.2,7.16
5154,17874.0,13.6,2,61.9,-6.01
5155,4007.0,48.4,3,43.6,5.05
5156,10375.0,102.8,2,67.9,-0.76
5157,2010.0,94.3,4,56.5,25.64
5158,18666.0,22.4,4,68.5,-1.49
5159,38356.0,17.6,4,71.1,-5.68
5160,15218.0,16.2,4,56.8,10.58
5161,6887.0,58.7,0,82.9,-0.5
5162,12974.0,30.2,5,66.4,0.73
5163,24090.0,38.2,5,55.2,2.05
5164,6945.0,44.3,0,44.9,-1.84
5165,6184.0,48.5,4,91.8,0.47
5166,11623.0,52.2,4,55.0,-15.29
5167,25449.0,40.7,2,65.5,3.25
5168,15355.0,14.4,3,68.2,9.85
5169,17164.0,90.3,2,75.5,20.66
5170,19649.0,7.3,4,48.3,4.75
5171,31314.0,79.0,0,35.1,11.5
5172,12548.0,26.2,4,66.0,-2.19
5173,8300.0,33.4,4,46.5,17.12
