customer_id,tenure_months,monthly_charges,contract_type,support_calls,churn,days_since_cancellation,retention_offer_after_cancellation,final_bill_amount
10068,21,44.27,Two year,1,0,,0,
10062,50,70.47,Two year,1,0,,0,
10038,7,26.94,Month-to-month,2,0,,0,
10011,11,61.89,Month-to-month,4,1,57.0,1,73.01
10580,8,18.06,One year,2,0,,0,
10054,17,56.22,Two year,1,0,,0,
10347,24,70.35,Two year,0,0,,0,
10092,3,62.21,Month-to-month,0,0,,0,
10135,38,51.51,Month-to-month,3,1,68.0,0,50.27
10458,44,26.26,Two year,3,0,,0,
10319,9,90.91,One year,4,0,,0,
10330,5,32.49,Month-to-month,1,0,,0,
10579,24,62.95,Month-to-month,3,1,48.0,0,79.11
10145,11,63.6,One year,1,0,,0,
10553,36,61.96,Two year,1,0,,0,
10082,27,64.32,One year,3,0,,0,
10125,12,34.83,Month-to-month,2,0,,0,
10292,33,38.25,One year,1,0,,0,
10383,4,62.67,Month-to-month,4,1,85.0,1,72.35
10130,12,27.24,Month-to-month,0,0,,0,
10335,45,75.16,Month-to-month,2,1,30.0,1,68.14
10322,7,60.29,Month-to-month,1,0,,0,
10046,5,42.21,Month-to-month,1,0,,0,
10015,38,93.38,One year,1,0,,0,
10248,11,44.95,One year,2,0,,0,
10385,1,91.46,One year,1,1,55.0,0,102.07
10289,34,40.82,Month-to-month,1,0,,0,
10455,17,86.62,One year,1,0,,0,
10049,3,47.44,Month-to-month,2,0,,0,
10590,18,93.42,Month-to-month,3,1,24.0,1,75.44
10294,24,38.5,Month-to-month,0,0,,0,
10446,33,120.0,Month-to-month,6,1,54.0,0,127.55
10598,16,55.78,Month-to-month,1,0,,0,
10170,13,51.77,Month-to-month,1,0,,0,
10138,33,64.26,Month-to-month,1,1,1.0,1,63.86
10502,9,51.23,Month-to-month,3,0,,0,
10351,8,120.0,One year,5,0,,0,
10350,37,79.72,One year,0,0,,0,
10228,38,36.3,One year,1,0,,0,
10117,7,18.0,Month-to-month,3,0,,0,
10074,34,70.31,Month-to-month,0,0,,0,
10397,43,54.48,Month-to-month,4,0,,0,
10103,10,79.15,Month-to-month,2,0,,0,
10519,1,98.52,Two year,2,0,,0,
10503,16,83.62,Month-to-month,0,0,,0,
10236,49,54.67,Month-to-month,4,0,,0,
10156,6,78.31,Month-to-month,5,0,,0,
10356,29,107.51,Month-to-month,7,1,59.0,0,91.65
10133,11,57.16,Month-to-month,6,1,75.0,1,56.86
10081,1,93.29,Month-to-month,1,1,82.0,1,111.42
10417,8,21.28,Month-to-month,2,0,,0,
10589,4,94.34,One year,1,1,75.0,1,97.72
10238,23,60.36,Month-to-month,0,0,,0,
10059,15,120.0,One year,3,0,,0,
10131,15,72.43,One year,2,1,74.0,1,83.54
10271,12,86.7,Month-to-month,5,1,86.0,1,95.8
10556,10,91.17,Month-to-month,2,0,,0,
10471,5,62.26,Month-to-month,0,1,27.0,1,72.11
10028,24,101.73,Two year,3,0,,0,
10371,7,59.28,Month-to-month,3,1,84.0,0,71.59
10178,44,78.49,One year,4,0,,0,
10332,1,88.28,Two year,0,0,,0,
10400,27,109.42,Month-to-month,3,1,1.0,1,122.92
10098,32,77.35,Month-to-month,2,1,77.0,0,73.88
10202,35,75.62,Two year,1,0,,0,
10320,62,53.57,Month-to-month,3,0,,0,
10517,29,83.98,Month-to-month,3,0,,0,
10215,15,62.76,Month-to-month,1,0,,0,
10044,3,59.0,Month-to-month,4,1,31.0,1,68.84
10113,28,46.47,Month-to-month,0,0,,0,
10327,34,37.48,Month-to-month,4,0,,0,
10353,6,85.21,Month-to-month,0,1,79.0,1,86.71
10473,23,101.77,Month-to-month,5,1,9.0,1,101.77
10528,72,18.0,Month-to-month,0,0,,0,
10029,11,40.83,One year,2,0,,0,
10526,11,93.55,Month-to-month,4,0,,0,
10561,27,78.41,Two year,2,0,,0,
10489,18,84.81,Month-to-month,4,1,61.0,1,76.79
10189,31,46.1,Month-to-month,3,0,,0,
10510,8,91.05,One year,4,1,66.0,1,102.03
10195,11,82.42,Month-to-month,1,0,,0,
10128,56,18.0,Month-to-month,3,0,,0,
10469,3,46.34,Month-to-month,3,0,,0,
10104,45,82.11,One year,2,0,,0,
10171,5,81.59,One year,2,0,,0,
10102,22,107.74,Month-to-month,3,1,26.0,0,130.18
10375,42,42.18,Month-to-month,2,0,,0,
10242,3,78.9,One year,0,0,,0,
10451,39,90.11,One year,4,1,40.0,1,94.17
10193,17,48.87,One year,1,0,,0,
10425,2,72.48,Month-to-month,0,0,,0,
10017,63,72.55,Month-to-month,2,0,,0,
10499,37,59.8,One year,5,0,,0,
10570,3,36.22,One year,0,0,,0,
10600,5,42.74,Month-to-month,2,0,,0,
10466,12,36.22,One year,1,1,23.0,1,41.65
10438,18,18.0,Month-to-month,1,1,10.0,1,21.78
10547,9,66.31,Month-to-month,2,0,,0,
10305,8,63.78,Month-to-month,3,0,,0,
10584,10,70.67,Two year,6,1,8.0,1,66.15
10439,52,57.59,Month-to-month,2,0,,0,
10112,1,74.2,One year,0,1,68.0,1,83.87
10329,37,62.58,Two year,2,0,,0,
10245,11,80.78,Month-to-month,4,1,27.0,1,102.03
10122,72,65.56,One year,2,0,,0,
10331,7,56.03,One year,1,0,,0,
10555,10,75.93,Month-to-month,2,1,57.0,1,89.36
10574,19,70.48,Month-to-month,1,0,,0,
10211,27,67.61,Two year,2,0,,0,
10108,23,75.85,One year,2,0,,0,
10080,15,39.39,One year,0,0,,0,
10041,72,77.33,One year,0,0,,0,
10187,9,60.01,Month-to-month,5,0,,0,
10462,5,49.25,Two year,4,1,9.0,1,61.81
10334,35,54.32,Two year,2,0,,0,
10525,6,47.05,Month-to-month,2,0,,0,
10207,7,58.52,Month-to-month,3,1,28.0,1,67.52
10186,1,104.67,Month-to-month,2,1,21.0,0,124.9
10307,34,69.68,Month-to-month,1,0,,0,
10404,17,75.9,Month-to-month,3,1,26.0,0,77.15
10341,10,52.7,One year,1,0,,0,
10388,12,60.98,One year,2,0,,0,
10058,26,95.28,Month-to-month,4,1,69.0,1,108.09
10132,72,62.26,Two year,4,0,,0,
10210,9,105.85,Month-to-month,7,1,87.0,1,92.4
10295,8,93.37,Month-to-month,2,1,86.0,0,85.23
10158,2,37.16,Month-to-month,1,1,56.0,0,36.94
10143,44,48.09,One year,2,0,,0,
10230,5,64.26,One year,3,1,50.0,1,65.67
10219,3,78.79,Month-to-month,2,1,3.0,1,71.53
10536,36,109.47,Month-to-month,3,0,,0,
10304,12,91.38,Two year,3,0,,0,
10408,26,19.79,Month-to-month,3,1,50.0,0,23.78
10267,8,97.92,Month-to-month,2,1,81.0,0,124.73
10530,8,18.0,Month-to-month,3,0,,0,
10127,11,66.99,Month-to-month,3,0,,0,
10244,32,42.82,Month-to-month,5,0,,0,
10311,12,65.89,Month-to-month,0,0,,0,
10323,45,94.73,Month-to-month,2,1,23.0,0,100.74
10339,10,64.2,Month-to-month,2,1,88.0,0,51.91
10487,23,42.2,Month-to-month,1,0,,0,
10154,24,63.26,Month-to-month,2,0,,0,
10358,49,40.78,Month-to-month,1,1,16.0,0,42.14
10346,2,92.83,Month-to-month,5,1,62.0,1,98.29
10162,26,68.05,One year,5,0,,0,
10313,28,51.96,Month-to-month,4,0,,0,
10176,11,57.67,Month-to-month,0,0,,0,
10262,9,52.77,Month-to-month,3,1,87.0,1,62.03
10181,9,55.74,Two year,2,0,,0,
10494,52,28.44,Month-to-month,6,0,,0,
10459,13,47.53,Month-to-month,4,1,16.0,0,42.92
10430,7,69.87,Month-to-month,2,1,74.0,0,81.06
10376,25,25.82,Month-to-month,2,1,46.0,1,29.37
10055,37,87.9,Month-to-month,2,0,,0,
10416,13,29.2,One year,0,0,,0,
10431,3,68.11,One year,2,1,70.0,0,59.82
10160,13,87.96,Month-to-month,3,0,,0,
10594,35,85.63,Two year,3,0,,0,
10343,1,65.75,Month-to-month,2,1,71.0,1,64.25
10448,25,37.27,One year,4,0,,0,
10440,34,87.04,Month-to-month,0,1,38.0,0,78.09
10019,7,51.52,Two year,2,0,,0,
10457,19,37.06,Month-to-month,1,1,77.0,1,36.11
10233,5,53.11,Two year,2,0,,0,
10088,1,39.07,Month-to-month,2,1,28.0,0,33.03
10372,7,42.78,Month-to-month,2,0,,0,
10194,1,18.0,Two year,2,0,,0,
10514,5,66.48,One year,0,0,,0,
10410,24,18.0,Month-to-month,3,0,,0,
10169,8,48.25,Month-to-month,1,1,87.0,1,55.41
10052,1,41.93,Month-to-month,1,0,,0,
10534,5,31.56,Two year,1,0,,0,
10231,1,40.53,Month-to-month,2,0,,0,
10587,1,52.59,Two year,2,0,,0,
10543,4,73.87,Month-to-month,2,1,47.0,0,64.13
10518,7,37.89,Month-to-month,4,0,,0,
10031,6,60.05,Month-to-month,3,1,12.0,0,51.99
10067,21,76.29,One year,4,0,,0,
10572,1,18.0,Month-to-month,0,1,32.0,0,20.12
10478,11,69.15,One year,3,0,,0,
10405,38,66.53,One year,2,0,,0,
10297,3,115.56,One year,3,1,15.0,0,131.46
10285,21,61.7,One year,4,0,,0,
10549,1,63.46,One year,1,0,,0,
10447,11,93.63,Month-to-month,2,0,,0,
10480,17,59.66,Month-to-month,3,1,2.0,1,68.21
10016,4,72.81,One year,3,0,,0,
10486,39,70.52,Month-to-month,2,0,,0,
10483,4,65.0,Month-to-month,2,0,,0,
10255,10,61.06,Two year,2,0,,0,
10318,7,66.71,Month-to-month,1,0,,0,
10198,7,67.64,Month-to-month,3,0,,0,
10511,7,74.15,Month-to-month,3,0,,0,
10337,4,48.88,Month-to-month,1,0,,0,
10374,6,42.22,Month-to-month,1,0,,0,
10398,2,115.52,Month-to-month,1,1,11.0,0,104.35
10495,33,72.54,Month-to-month,1,0,,0,
10470,11,41.17,One year,0,0,,0,
10109,23,82.06,Month-to-month,2,1,1.0,0,70.55
10576,8,44.8,Month-to-month,2,0,,0,
10521,56,46.28,Two year,0,0,,0,
10325,20,94.8,Two year,2,1,34.0,0,113.64
10426,20,57.01,Month-to-month,1,0,,0,
10216,5,47.04,Two year,3,0,,0,
10026,10,98.58,Month-to-month,3,0,,0,
10137,24,22.93,Month-to-month,2,0,,0,
10050,8,81.89,Month-to-month,1,0,,0,
10370,1,88.97,Month-to-month,1,0,,0,
10175,26,83.76,One year,3,0,,0,
10047,23,43.65,Month-to-month,2,1,21.0,0,46.71
10204,32,75.25,One year,1,1,56.0,0,66.8
10363,33,76.38,Two year,0,0,,0,
10537,7,72.96,Two year,1,1,41.0,1,73.25
10084,59,56.19,One year,2,0,,0,
10119,16,71.33,Two year,1,1,39.0,1,90.53
10437,19,108.52,Two year,4,0,,0,
10212,20,34.72,Month-to-month,2,0,,0,
10124,4,42.65,Two year,4,0,,0,
10167,18,102.26,Month-to-month,7,1,82.0,1,128.45
10252,2,53.02,Month-to-month,1,0,,0,
10190,1,42.02,Month-to-month,3,0,,0,
10565,30,65.79,Month-to-month,0,0,,0,
10551,10,120.0,One year,3,0,,0,
10234,30,18.0,Month-to-month,5,1,51.0,1,21.17
10316,6,82.48,One year,2,0,,0,
10060,19,114.98,Month-to-month,1,1,11.0,0,97.93
10453,2,47.74,Month-to-month,3,0,,0,
10106,7,80.94,One year,3,0,,0,
10139,5,111.14,Two year,2,0,,0,
10056,54,49.19,One year,1,0,,0,
10577,7,63.47,Two year,3,0,,0,
10281,6,54.07,Two year,2,0,,0,
10057,14,54.02,Two year,4,0,,0,
10593,21,60.65,Two year,2,0,,0,
10474,12,18.0,One year,2,0,,0,
10545,1,49.68,Two year,0,0,,0,
10089,72,55.55,One year,2,0,,0,
10377,13,64.33,Month-to-month,1,0,,0,
10025,44,69.96,Month-to-month,3,1,16.0,1,76.57
10240,1,53.41,One year,2,0,,0,
10115,6,49.89,Month-to-month,2,0,,0,
10140,12,114.51,One year,6,0,,0,
10105,37,18.0,One year,3,0,,0,
10205,40,28.58,Month-to-month,2,1,24.0,0,30.51
10273,6,84.32,Month-to-month,1,0,,0,
10032,20,84.66,One year,1,0,,0,
10479,10,71.79,Month-to-month,0,0,,0,
10272,4,117.41,Month-to-month,2,0,,0,
10573,60,56.55,Month-to-month,2,0,,0,
10270,7,37.47,One year,4,0,,0,
10533,10,81.19,Month-to-month,1,0,,0,
10288,68,86.93,Month-to-month,3,0,,0,
10225,9,53.39,Two year,0,0,,0,
10348,13,87.13,Two year,3,0,,0,
10024,15,63.79,Month-to-month,6,0,,0,
10269,27,85.32,One year,2,0,,0,
10165,49,67.07,Month-to-month,0,0,,0,
10566,20,77.59,Two year,4,0,,0,
10548,22,41.32,Two year,4,0,,0,
10129,27,73.56,Month-to-month,1,1,62.0,1,88.21
10324,15,30.32,Month-to-month,4,0,,0,
10241,19,84.96,Month-to-month,0,0,,0,
10299,16,83.5,Month-to-month,2,0,,0,
10386,14,56.46,Month-to-month,2,1,48.0,1,60.83
10263,16,21.47,Month-to-month,0,0,,0,
10099,53,81.78,One year,2,0,,0,
10393,12,76.56,One year,3,0,,0,
10419,26,18.0,One year,2,0,,0,
10412,7,46.85,Month-to-month,0,0,,0,
10203,1,74.8,Month-to-month,2,0,,0,
10004,18,56.63,Month-to-month,4,0,,0,
10355,54,111.39,Two year,3,0,,0,
10444,10,30.5,Month-to-month,4,0,,0,
10434,4,58.85,Month-to-month,2,0,,0,
10147,22,57.72,Two year,1,0,,0,
10554,4,60.89,Month-to-month,1,0,,0,
10493,18,120.0,Month-to-month,3,0,,0,
10402,48,48.44,One year,1,0,,0,
10261,1,95.26,Month-to-month,4,1,55.0,1,95.04
10191,10,34.55,Two year,1,0,,0,
10362,3,63.23,Month-to-month,0,1,54.0,0,53.79
10564,36,55.68,Two year,2,0,,0,
10197,22,73.92,Month-to-month,2,0,,0,
10141,27,98.05,Month-to-month,5,1,66.0,0,127.42
