customer_id,age,income,monthly_spend,contract_type,city,support_calls,churn
5219,34.0,,73.82,Month-to-month,Delhi,2,0
5192,57.0,57000.0,87.35,Month-to-month,Chennai,2,0
5118,27.0,65800.0,97.59,Month-to-month,Pune,3,0
5051,35.0,33400.0,69.89,Month-to-month,Chennai,3,1
5349,34.0,75600.0,55.66,Two year,Chennai,1,0
5283,18.0,40300.0,59.94,Month-to-month,,1,1
5196,41.0,60200.0,91.48,Month-to-month,Chennai,3,1
5328,,63100.0,40.51,One year,Delhi,5,0
5124,43.0,15000.0,51.42,Month-to-month,Pune,5,1
5364,,72000.0,40.68,Month-to-month,Chennai,4,1
5309,38.0,63200.0,78.27,One year,Delhi,3,1
5162,28.0,66900.0,58.75,Two year,Bengaluru,1,0
5053,55.0,80300.0,48.5,Month-to-month,Pune,0,0
5186,26.0,54500.0,54.5,Month-to-month,Delhi,3,1
5177,35.0,75200.0,94.65,One year,Mumbai,4,1
5140,,54700.0,78.63,Month-to-month,Pune,0,0
5231,43.0,54600.0,30.22,Month-to-month,Bengaluru,1,0
5334,46.0,68700.0,89.91,One year,Mumbai,1,0
5089,44.0,63900.0,107.37,Month-to-month,Bengaluru,1,1
5352,43.0,44700.0,53.22,Month-to-month,Pune,1,0
5332,25.0,55000.0,88.51,Month-to-month,Chennai,0,0
5373,42.0,62400.0,79.48,Month-to-month,Delhi,2,1
5394,35.0,24400.0,51.98,Two year,Chennai,2,0
5358,50.0,46700.0,63.43,Two year,Pune,1,0
5393,47.0,65900.0,105.28,One year,Mumbai,2,0
5044,,76700.0,,Two year,Mumbai,7,0
5116,,,69.14,Month-to-month,Mumbai,0,1
5301,54.0,,41.97,Month-to-month,Bengaluru,1,1
5280,42.0,65700.0,81.71,Month-to-month,Delhi,2,0
5067,37.0,65000.0,27.98,One year,Mumbai,1,0
5253,36.0,39700.0,58.3,One year,Mumbai,4,0
5151,44.0,55400.0,84.33,Month-to-month,Delhi,3,0
5202,18.0,42600.0,94.97,One year,Bengaluru,1,1
5063,30.0,40400.0,51.67,Month-to-month,Chennai,1,1
5245,41.0,43700.0,99.76,One year,Mumbai,1,1
5076,40.0,60500.0,49.4,One year,Bengaluru,1,0
5381,47.0,80400.0,94.7,Month-to-month,Bengaluru,4,1
5338,34.0,47300.0,55.02,One year,Bengaluru,3,0
5327,48.0,79000.0,37.12,Month-to-month,Bengaluru,1,1
5050,36.0,59800.0,98.63,One year,Pune,3,0
5303,41.0,58800.0,58.11,Month-to-month,Pune,0,0
5048,37.0,71300.0,63.98,Two year,Bengaluru,3,0
5254,42.0,35000.0,94.93,One year,Mumbai,4,1
5258,28.0,49900.0,43.99,Month-to-month,Mumbai,3,0
5091,,81500.0,70.19,Month-to-month,Pune,4,0
5243,41.0,53300.0,65.92,Month-to-month,,6,1
5072,26.0,15000.0,77.51,Month-to-month,Mumbai,1,1
5142,46.0,48600.0,90.55,Month-to-month,Chennai,1,1
5314,25.0,58700.0,70.77,One year,Mumbai,6,0
5308,44.0,43600.0,57.72,Two year,Chennai,3,1
5022,41.0,95900.0,41.87,Month-to-month,Delhi,1,0
5054,23.0,,67.28,Month-to-month,Chennai,2,0
5156,31.0,41100.0,71.71,One year,Pune,1,0
5171,39.0,50000.0,70.67,Month-to-month,Bengaluru,2,1
5123,27.0,71400.0,112.32,Month-to-month,Chennai,0,1
5100,50.0,65700.0,84.67,Two year,Chennai,3,0
5223,31.0,37500.0,,One year,Bengaluru,0,0
5330,50.0,66000.0,74.06,Month-to-month,Mumbai,1,0
5284,39.0,43800.0,41.54,Two year,Bengaluru,0,0
5312,43.0,62700.0,44.56,Two year,Bengaluru,3,0
5318,52.0,,67.21,Two year,Pune,4,0
5307,46.0,69600.0,66.45,Month-to-month,Delhi,3,0
5001,42.0,,109.03,One year,Delhi,2,0
5061,29.0,,84.62,One year,Bengaluru,3,1
5331,42.0,65400.0,58.58,Month-to-month,Delhi,2,0
5293,54.0,62400.0,60.75,One year,Delhi,2,0
5102,33.0,53700.0,70.69,One year,Chennai,2,1
5133,26.0,67200.0,57.98,Month-to-month,Mumbai,1,0
5371,18.0,44700.0,62.09,Month-to-month,Bengaluru,3,0
5300,36.0,,72.37,Month-to-month,Bengaluru,1,1
5299,44.0,60800.0,54.07,One year,Delhi,3,0
5260,39.0,56600.0,44.61,Two year,Delhi,2,1
5056,18.0,64800.0,68.29,Month-to-month,Delhi,5,1
5398,18.0,39000.0,101.02,Month-to-month,Delhi,0,0
5319,25.0,59200.0,39.03,Month-to-month,Delhi,0,0
5185,37.0,,62.95,Month-to-month,Delhi,1,0
5141,42.0,60300.0,36.35,Two year,Pune,3,0
5108,41.0,35700.0,104.32,One year,Chennai,0,0
5242,22.0,55900.0,88.1,One year,Mumbai,1,0
5049,39.0,64400.0,89.32,Month-to-month,Pune,3,0
5250,30.0,53500.0,,One year,,2,0
5043,34.0,71400.0,94.49,Month-to-month,Delhi,3,0
5298,45.0,43100.0,51.0,Two year,Delhi,2,0
5128,53.0,35700.0,102.91,One year,Pune,2,1
5057,29.0,55100.0,73.24,Month-to-month,Delhi,2,1
5273,31.0,32500.0,49.75,Month-to-month,Chennai,1,0
5150,31.0,80700.0,53.04,Month-to-month,Pune,2,0
5320,43.0,62200.0,58.84,Month-to-month,Bengaluru,1,0
5264,41.0,40100.0,83.4,Two year,Pune,4,0
5013,18.0,56900.0,91.7,One year,Mumbai,0,0
5336,47.0,36100.0,90.94,Month-to-month,Bengaluru,1,1
5263,33.0,,67.47,Month-to-month,Chennai,1,0
5238,34.0,39800.0,33.44,Month-to-month,Delhi,0,0
5354,45.0,55500.0,107.17,Two year,Chennai,4,0
5077,44.0,57300.0,109.93,Two year,Chennai,0,0
5369,44.0,58700.0,64.88,One year,Delhi,3,0
5090,35.0,70300.0,71.73,One year,Delhi,3,0
5183,48.0,47900.0,70.67,One year,Mumbai,1,1
5220,24.0,37600.0,73.42,One year,Pune,3,0
5019,26.0,,97.88,Month-to-month,Chennai,3,0
5025,36.0,57400.0,45.9,Month-to-month,Mumbai,0,0
5034,50.0,46500.0,57.28,One year,Chennai,5,0
5397,34.0,44900.0,83.94,One year,Delhi,0,1
5274,42.0,58900.0,88.87,One year,Delhi,5,0
5247,29.0,35800.0,95.07,Two year,Bengaluru,4,1
5109,48.0,32700.0,97.02,Two year,Mumbai,2,0
5007,28.0,85700.0,55.52,Two year,Pune,5,0
5011,45.0,65000.0,65.23,Two year,Chennai,1,0
5348,25.0,77400.0,56.2,Month-to-month,Chennai,2,0
