customer_id,signup_date,last_login_date,login_count,support_calls,churn
1,2023-09-21,2025-06-27,39,1,0
2,2024-07-08,2025-06-26,36,1,0
3,2024-08-20,2025-04-23,3,3,1
4,2024-04-16,2025-04-21,12,6,1
5,2023-10-23,2025-06-29,43,2,0
6,2023-09-01,2025-06-28,44,4,0
7,2024-10-13,2025-06-23,42,0,0
8,2024-11-12,2025-06-24,29,0,0
9,2024-05-11,2025-06-27,31,2,0
10,2024-04-02,2025-06-21,38,0,0
11,2024-11-14,2025-06-17,34,0,0
12,2024-09-03,2025-06-22,35,1,0
13,2023-08-19,2025-06-20,36,0,0
14,2023-12-12,2025-06-18,35,0,0
15,2023-10-07,2025-06-19,34,1,0
16,2024-05-03,2025-04-08,8,3,1
17,2024-08-21,2025-06-23,34,0,0
18,2024-12-17,2025-06-23,49,1,0
19,2024-02-06,2025-06-24,40,0,0
20,2024-05-21,2025-06-27,47,1,0
21,2024-07-27,2025-05-06,14,5,1
22,2024-11-20,2025-06-25,29,1,0
23,2024-05-27,2025-05-09,9,8,1
24,2025-03-29,2025-06-23,46,1,0
25,2025-03-25,2025-03-17,4,2,1
26,2025-02-15,2025-06-27,39,1,0
27,2023-10-04,2025-06-17,57,0,0
28,2024-09-14,2025-06-20,46,1,0
29,2025-02-09,2025-06-19,45,1,0
30,2025-04-21,2025-06-23,49,0,0
31,2023-08-08,2025-06-18,37,0,0
32,2023-12-01,2025-05-23,9,3,1
33,2025-01-18,2025-06-29,38,0,0
34,2023-11-10,2025-04-05,9,2,1
35,2024-04-11,2025-04-26,7,4,1
36,2025-04-18,2025-06-27,46,1,0
37,2025-02-07,2025-06-18,36,2,0
38,2024-05-14,2025-06-27,45,2,0
39,2024-01-17,2025-06-18,42,0,0
40,2024-07-16,2025-05-22,6,2,1
41,2025-01-21,2025-05-10,7,1,1
42,2024-08-06,2025-06-19,38,2,0
43,2023-10-06,2025-06-24,39,3,0
44,2025-03-14,2025-06-20,39,1,0
45,2024-02-27,2025-06-30,42,0,0
46,2023-08-11,2025-03-11,6,4,1
47,2024-03-10,2025-06-30,34,0,0
48,2024-10-15,2025-06-26,41,0,0
49,2024-11-26,2025-06-21,50,0,0
50,2023-08-16,2025-06-24,41,2,0
51,2024-02-13,2025-06-25,30,0,0
52,2024-08-04,2025-03-21,5,2,1
53,2025-02-20,2025-06-23,37,0,0
54,2024-12-12,2025-06-26,42,1,0
55,2024-07-01,2025-06-28,48,1,0
56,2024-11-14,2025-06-17,35,1,0
57,2024-11-11,2025-06-27,43,1,0
58,2024-11-17,2025-06-24,26,2,0
59,2024-12-24,2025-06-27,27,0,0
60,2023-11-09,2025-06-18,42,1,0
61,2024-06-10,2025-06-21,31,1,0
62,2023-10-24,2025-04-22,10,6,1
63,2024-02-11,2025-06-25,43,1,0
64,2023-11-07,2025-06-28,42,2,0
65,2024-02-11,2025-06-17,49,1,0
66,2024-11-04,2025-06-25,44,1,0
67,2024-10-26,2025-05-26,6,2,1
68,2024-10-15,2025-06-26,39,1,0
69,2024-12-09,2025-05-11,10,1,1
70,2024-05-06,2025-06-21,36,2,0
71,2023-08-03,2025-06-17,36,0,0
72,2024-01-11,2025-06-21,37,0,0
73,2023-11-16,2025-06-24,41,0,0
74,2024-01-14,2025-05-12,10,1,1
75,2024-09-03,2025-06-28,48,0,0
76,2023-10-15,2025-06-30,28,1,0
77,2024-11-02,2025-04-27,8,1,1
78,2023-12-06,2025-06-29,37,1,0
79,2025-04-04,2025-05-18,5,4,1
80,2024-05-22,2025-06-22,43,0,0
81,2024-02-11,2025-04-28,8,4,1
82,2024-01-23,2025-06-21,37,1,0
83,2025-02-22,2025-03-10,8,3,1
84,2023-12-06,2025-06-21,37,0,0
85,2025-04-05,2025-06-30,34,0,0
86,2024-12-23,2025-06-25,37,0,0
87,2025-03-15,2025-06-27,36,2,0
88,2023-07-16,2025-06-30,38,0,0
89,2024-05-28,2025-06-17,44,0,0
90,2024-05-06,2025-03-23,7,5,1
91,2024-06-23,2025-06-29,35,1,0
92,2024-03-02,2025-06-26,33,0,0
93,2024-12-09,2025-03-22,9,3,1
94,2024-02-07,2025-05-02,7,5,1
95,2024-07-22,2025-06-25,47,1,0
96,2024-01-13,2025-06-26,42,0,0
97,2024-04-24,2025-06-30,35,1,0
98,2025-03-04,2025-06-18,35,1,0
99,2024-07-03,2025-06-26,42,0,0
100,2025-03-11,2025-06-19,35,0,0
101,2023-12-31,2025-06-29,31,2,0
102,2024-10-13,2025-06-29,44,1,0
103,2023-07-03,2025-04-30,1,3,1
104,2025-02-02,2025-05-26,7,2,1
105,2024-04-27,2025-06-20,39,3,0
106,2023-12-18,2025-06-29,37,0,0
107,2024-06-15,2025-04-15,3,5,1
108,2024-06-19,2025-04-08,6,5,1
109,2023-12-30,2025-06-29,31,1,0
110,2024-12-31,2025-06-19,48,1,0
111,2023-12-04,2025-06-20,40,0,0
112,2024-08-04,2025-06-22,43,0,0
113,2025-04-05,2025-06-29,41,3,0
114,2024-12-21,2025-06-29,34,0,0
115,2024-06-29,2025-06-27,47,0,0
116,2023-12-17,2025-04-19,11,4,1
117,2024-01-12,2025-04-26,5,3,1
118,2024-08-06,2025-05-16,10,4,1
119,2024-05-05,2025-03-20,5,5,1
120,2023-10-09,2025-06-19,51,0,0
121,2023-08-24,2025-05-17,10,8,1
122,2024-01-12,2025-06-19,42,0,0
123,2024-04-05,2025-06-18,50,0,0
124,2024-06-24,2025-06-29,38,1,0
125,2024-05-21,2025-06-26,38,0,0
126,2024-04-12,2025-06-22,48,0,0
127,2023-08-21,2025-06-30,43,1,0
128,2023-07-02,2025-06-27,35,2,0
129,2023-09-16,2025-06-24,38,1,0
130,2024-01-05,2025-06-25,41,0,0
131,2025-04-15,2025-05-15,8,2,1
132,2024-07-21,2025-06-28,42,1,0
133,2023-12-06,2025-06-18,43,0,0
134,2024-08-10,2025-06-24,51,1,0
135,2024-02-16,2025-06-18,41,1,0
136,2023-10-09,2025-05-04,8,5,1
137,2024-06-16,2025-06-26,32,1,0
138,2024-03-06,2025-06-27,46,1,0
139,2024-03-16,2025-03-26,7,1,1
140,2024-01-22,2025-04-10,7,1,1
141,2024-10-30,2025-06-29,48,1,0
142,2025-01-14,2025-06-30,27,0,0
143,2024-11-06,2025-06-23,42,1,0
144,2024-07-08,2025-06-20,41,0,0
145,2023-08-13,2025-06-19,36,2,0
146,2025-04-20,2025-06-17,43,0,0
147,2024-01-01,2025-04-07,7,4,1
148,2024-05-07,2025-06-21,35,0,0
149,2024-01-12,2025-06-20,41,0,0
150,2025-04-18,2025-06-29,42,1,0
151,2025-03-28,2025-06-28,43,1,0
152,2024-02-21,2025-06-25,35,0,0
153,2024-12-15,2025-06-26,46,0,0
154,2025-01-24,2025-06-23,44,0,0
155,2024-08-19,2025-06-29,44,2,0
156,2025-03-12,2025-06-28,32,0,0
157,2024-03-03,2025-06-24,38,0,0
158,2025-01-11,2025-06-19,33,1,0
159,2024-11-11,2025-06-18,51,1,0
160,2024-07-26,2025-06-27,39,1,0
161,2024-03-19,2025-06-21,46,0,0
162,2024-06-08,2025-06-20,40,0,0
163,2024-02-24,2025-03-20,9,1,1
164,2024-11-14,2025-06-27,45,2,0
165,2024-03-15,2025-06-23,46,0,0
166,2024-03-10,2025-06-28,46,2,0
167,2024-12-05,2025-06-17,35,1,0
168,2024-03-21,2025-03-16,14,4,1
169,2024-10-22,2025-06-21,48,0,0
170,2024-12-08,2025-06-20,29,0,0
171,2024-03-23,2025-06-22,34,0,0
172,2024-08-18,2025-06-26,35,0,0
173,2024-04-26,2025-06-27,35,2,0
174,2023-08-16,2025-06-25,44,1,0
175,2023-08-23,2025-06-23,37,0,0
176,2024-06-04,2025-06-20,38,1,0
177,2024-12-11,2025-06-21,38,2,0
178,2023-11-03,2025-06-24,53,1,0
179,2024-10-01,2025-06-23,41,0,0
180,2024-01-30,2025-06-23,39,0,0
