student_id,study_hours,attendance_pct,prev_score,doubt_sessions,final_score
3001,7.0,56.5,48.6,1,26.8
3002,4.6,68.0,74.6,2,27.8
3003,7.5,97.6,67.2,3,26.7
3004,6.1,71.0,51.1,6,32.5
3005,2.1,47.6,52.6,2,25.7
3006,8.5,69.6,51.6,4,45.5
3007,5.8,63.1,64.3,4,31.7
3008,7.5,78.4,73.9,4,39.4
3009,10.6,73.6,67.6,7,38.4
3010,6.7,47.4,56.9,1,20.7
3011,3.3,75.4,38.8,1,29.5
3012,4.3,86.7,60.6,3,34.4
3013,8.5,93.5,57.6,3,37.3
3014,2.4,77.9,49.1,4,24.4
3015,6.7,100.0,45.6,6,36.3
3016,6.9,95.0,82.0,4,34.4
3017,3.1,85.0,81.1,0,25.5
3018,6.4,96.8,37.8,4,38.1
3019,7.4,36.0,73.0,1,15.5
3020,4.1,92.5,64.2,1,35.2
3021,4.8,95.6,85.1,6,45.2
3022,7.4,72.4,46.1,6,35.3
3023,2.8,86.3,72.7,4,38.9
3024,3.8,64.2,49.8,3,15.6
3025,8.4,71.5,54.5,1,24.8
3026,6.2,71.3,61.0,0,22.3
3027,2.5,58.3,71.9,3,23.2
3028,6.0,70.7,59.7,1,23.1
3029,10.9,47.4,34.6,3,19.1
3030,2.2,71.8,70.0,1,20.5
3031,8.0,99.3,57.5,3,31.7
3032,7.9,100.0,54.1,2,27.2
3033,5.6,73.6,31.9,6,31.6
3034,7.5,100.0,51.0,0,41.3
3035,4.3,80.1,74.7,4,33.6
3036,9.9,54.9,76.1,3,36.2
3037,10.3,64.7,64.4,1,35.5
3038,3.8,73.2,44.3,4,36.1
3039,5.5,73.8,69.0,4,35.4
3040,6.3,83.9,44.7,4,34.1
3041,4.4,63.6,69.2,4,29.9
3042,6.9,68.0,49.5,2,22.2
3043,3.4,89.8,34.8,2,30.9
3044,7.4,76.3,64.0,1,39.5
3045,5.2,80.6,60.6,2,31.2
3046,5.9,73.6,60.6,2,30.6
3047,7.2,85.1,44.2,1,37.7
3048,8.3,85.9,42.0,2,38.3
3049,3.5,63.1,74.1,1,24.6
3050,8.0,91.8,56.8,2,33.4
3051,8.2,65.1,81.8,8,46.2
3052,5.7,80.1,81.9,2,39.5
3053,9.8,70.4,41.5,3,28.6
3054,4.1,84.9,52.1,3,41.0
3055,4.6,79.2,14.2,2,14.4
3056,7.0,83.6,56.2,2,27.5
3057,4.3,77.1,47.5,3,25.3
3058,9.5,73.3,60.6,5,42.5
3059,6.5,78.0,52.1,1,27.9
3060,10.3,74.8,49.2,2,30.7
3061,3.4,62.5,45.0,4,30.4
3062,3.6,51.7,45.7,1,20.9
3063,9.3,82.9,75.3,2,40.3
3064,3.4,94.2,66.8,1,30.1
3065,8.7,60.5,89.4,4,32.5
3066,4.0,82.5,69.2,1,22.6
3067,6.7,65.8,51.6,3,29.4
3068,8.9,77.7,50.4,2,31.0
3069,5.9,88.1,81.6,6,36.5
3070,3.1,80.3,29.5,4,25.5
3071,4.8,71.4,59.1,1,24.4
3072,8.8,45.9,55.1,3,23.3
3073,6.5,71.7,26.5,5,36.0
3074,7.8,74.4,74.0,3,32.5
3075,6.2,93.2,58.2,4,35.1
3076,6.7,64.4,54.6,1,20.1
3077,5.5,73.2,45.1,3,31.2
3078,3.5,77.6,57.1,3,21.1
3079,7.4,93.5,55.9,0,32.6
3080,6.5,56.9,73.0,5,39.6
3081,1.1,87.0,53.0,1,20.3
3082,6.0,73.2,94.2,3,34.3
3083,8.4,64.6,49.1,6,43.3
3084,10.8,54.3,60.3,2,36.8
3085,2.6,60.2,48.7,3,30.2
3086,6.3,87.0,71.0,6,31.2
3087,7.4,66.9,52.1,3,30.0
3088,7.9,60.5,79.9,4,35.1
3089,4.3,68.6,73.7,1,39.1
3090,7.3,94.5,64.9,3,42.4
3091,5.0,89.4,33.9,2,22.1
3092,5.9,87.0,58.4,1,33.6
3093,4.7,89.3,57.3,2,28.4
3094,6.8,86.3,67.8,0,33.2
3095,5.0,68.7,37.5,2,20.0
3096,6.8,58.4,68.0,1,33.8
3097,5.8,93.2,68.6,3,37.4
3098,8.3,73.0,57.2,3,32.7
3099,10.2,76.7,62.6,5,39.8
3100,5.8,67.9,50.9,2,38.1
3101,4.2,82.4,72.4,2,28.8
3102,5.4,94.9,40.6,3,39.2
3103,4.7,68.8,48.1,3,22.2
3104,1.9,77.1,96.4,3,21.4
3105,6.1,75.8,57.3,4,27.8
3106,4.8,84.8,57.7,2,22.4
3107,8.3,74.8,44.5,1,32.5
3108,5.7,75.6,54.6,2,29.3
3109,8.3,66.1,62.4,2,25.7
3110,7.9,75.6,41.0,2,27.9
3111,4.8,64.3,37.0,4,19.7
3112,5.2,86.0,52.5,5,31.0
3113,4.7,73.1,82.6,3,44.3
3114,4.9,99.6,54.4,7,42.4
3115,8.1,65.0,97.8,3,29.6
3116,4.7,59.8,77.3,1,30.9
3117,5.0,88.7,68.8,2,30.2
3118,4.0,84.5,52.3,2,17.9
3119,9.5,54.7,67.1,3,37.7
3120,5.1,100.0,99.0,2,25.1
3121,5.6,72.6,39.5,1,20.9
3122,3.8,91.7,65.3,6,28.8
3123,6.6,69.3,84.8,1,33.5
3124,4.0,85.4,74.3,3,22.9
3125,4.3,91.6,61.5,4,32.1
3126,0.9,67.9,53.1,3,14.2
3127,1.9,80.4,73.6,4,36.0
3128,6.4,88.2,33.4,1,36.0
3129,7.8,100.0,86.5,2,42.7
3130,1.8,90.0,46.9,2,1.7
3131,6.4,96.2,29.5,8,48.3
3132,6.4,84.2,54.6,2,20.0
3133,13.6,85.9,56.7,3,45.2
3134,3.5,84.0,53.6,3,38.5
3135,4.3,72.6,34.3,2,21.7
3136,3.3,48.4,47.4,1,16.9
3137,8.0,50.5,70.0,3,33.8
3138,8.6,80.7,64.2,4,29.4
3139,5.3,82.7,76.0,2,29.1
3140,9.7,76.4,61.2,1,32.9
3141,11.2,66.7,42.6,3,37.8
3142,4.8,67.8,54.3,6,26.8
3143,7.3,56.3,60.0,3,28.4
3144,5.5,92.6,62.4,5,26.0
3145,4.4,50.2,63.7,2,25.7
3146,4.8,99.3,63.1,1,35.4
3147,5.4,68.5,69.6,0,21.7
3148,2.7,100.0,70.2,2,34.1
3149,5.7,82.2,47.2,1,37.9
3150,8.0,70.2,76.6,4,41.5
3151,3.6,76.7,69.3,7,36.3
3152,4.7,67.6,54.1,0,36.0
3153,3.7,97.4,62.3,7,40.0
3154,6.9,74.4,56.2,4,32.1
3155,5.7,78.2,62.4,1,32.7
3156,8.3,61.6,31.4,2,29.8
3157,5.2,83.3,30.9,1,29.9
3158,2.3,52.4,71.6,3,19.0
3159,7.4,64.6,53.7,4,22.2
3160,5.2,93.1,79.6,4,30.8
3161,8.8,43.6,81.8,1,25.7
3162,7.8,78.9,64.3,0,37.0
3163,0.0,92.0,87.9,2,37.3
3164,1.0,76.2,46.0,3,17.5
3165,6.1,96.3,63.2,4,34.8
3166,4.1,93.1,41.2,1,24.4
3167,0.4,81.8,63.2,5,28.2
3168,4.6,50.6,77.4,1,32.1
3169,9.2,67.3,63.2,4,39.4
3170,7.6,69.4,65.3,4,27.2
3171,3.8,89.1,45.8,0,20.6
3172,6.7,72.8,64.4,2,28.1
3173,8.5,69.7,49.0,2,33.4
3174,5.5,54.8,62.2,5,33.6
3175,10.4,70.8,49.7,1,38.5
3176,4.2,77.1,74.3,7,32.3
3177,11.2,37.2,69.6,1,28.2
3178,9.8,72.6,66.7,2,30.1
3179,7.3,79.0,73.0,2,41.2
3180,6.5,69.3,79.8,3,37.8
3181,6.1,71.1,60.9,4,33.0
3182,3.6,64.7,50.3,2,33.2
3183,8.4,86.4,51.6,2,34.4
3184,9.2,64.9,85.4,4,39.7
3185,7.9,90.8,66.1,3,38.8
3186,6.7,78.4,44.0,1,32.3
3187,6.3,44.7,44.9,2,32.0
3188,3.7,68.6,78.5,4,31.8
3189,4.3,77.3,56.7,3,27.0
3190,2.4,85.6,86.2,5,38.1
3191,7.2,74.8,83.1,6,41.7
3192,3.7,71.1,56.4,3,19.3
3193,8.1,85.1,55.7,4,29.7
3194,4.3,96.7,46.1,5,35.5
3195,9.5,46.4,71.2,6,44.2
3196,9.9,63.8,38.9,4,36.5
