student_id,attendance_pct,study_hours,prev_score,fee_delay_days,attendance_mode,attendance_pct_copy,study_minutes_scaled,random_numeric_noise,random_categorical_noise,at_risk
4001,87.6,5.9,86.2,2.5,Offline,87.8,350.2,72.5,B,0
4002,30.4,5.1,60.9,3.2,Offline,31.2,304.5,46.6,C,0
4003,70.4,6.3,31.7,26.4,Offline,69.9,381.5,37.1,D,1
4004,96.7,2.1,96.6,5.3,Offline,96.5,126.0,48.1,A,0
4005,56.3,9.8,55.8,12.0,Offline,56.7,587.5,46.8,B,1
4006,75.8,3.5,59.9,11.1,Offline,76.6,214.9,39.0,C,0
4007,97.5,3.7,64.9,18.4,Offline,98.6,219.9,40.6,D,0
4008,57.5,7.5,51.9,5.3,Offline,57.2,451.8,49.2,D,1
4009,87.2,3.0,78.5,10.9,Offline,87.4,175.4,48.0,C,0
4010,100.0,9.5,70.3,2.0,Offline,100.6,563.3,33.4,D,0
4011,81.7,6.5,74.1,16.6,Offline,81.3,391.4,44.5,B,1
4012,99.4,9.5,64.8,12.0,Offline,99.7,570.7,54.8,C,0
4013,72.9,1.4,57.6,17.3,Offline,73.2,87.8,49.1,B,0
4014,68.7,5.4,75.7,7.8,Offline,68.6,327.1,52.8,B,0
4015,82.0,7.2,43.9,7.7,Offline,81.6,431.8,57.6,B,0
4016,53.4,4.1,45.7,2.5,Offline,53.8,244.3,45.0,C,0
4017,91.6,10.2,63.1,3.8,Offline,91.3,616.2,59.2,B,0
4018,75.7,6.5,61.0,2.7,Offline,76.8,394.7,66.6,C,1
4019,55.6,5.4,40.5,3.1,Offline,55.2,324.1,35.2,D,1
4020,92.0,6.6,43.7,6.0,Offline,91.6,399.5,52.9,A,0
4021,85.2,8.3,44.4,2.2,Offline,86.8,495.1,48.7,B,0
4022,70.1,6.0,76.1,20.0,Offline,70.3,359.0,46.2,B,0
4023,65.6,6.1,46.5,3.3,Offline,65.6,368.6,48.1,C,0
4024,80.6,5.3,40.0,1.4,Offline,80.1,315.5,47.2,D,0
4025,51.3,7.4,36.1,4.8,Offline,51.0,444.2,60.3,C,0
4026,57.7,6.2,60.3,0.2,Offline,57.6,369.7,38.3,B,0
4027,94.3,5.9,43.2,6.2,Offline,94.0,351.2,69.6,A,0
4028,80.4,9.0,53.4,1.2,Offline,80.6,544.6,32.0,A,0
4029,94.0,5.3,82.3,1.4,Offline,93.5,322.1,26.6,B,0
4030,78.7,3.4,62.1,0.3,Offline,78.1,204.0,46.7,C,0
4031,100.0,5.4,28.2,19.0,Offline,99.7,322.1,52.3,D,0
4032,60.1,4.6,68.8,45.2,Offline,60.0,274.3,56.6,B,1
4033,94.3,3.9,35.0,7.8,Offline,93.4,234.7,52.2,A,0
4034,90.7,7.7,48.7,1.6,Offline,91.1,463.3,54.2,A,0
4035,94.1,6.0,67.1,1.2,Offline,93.6,360.6,84.0,B,0
4036,100.0,6.3,43.4,4.9,Offline,100.1,370.5,39.4,C,0
4037,71.5,9.6,33.5,8.6,Offline,72.4,568.6,51.6,A,1
4038,77.5,7.7,65.5,8.5,Offline,76.8,461.8,35.8,B,0
