customer_id,credit_score,annual_income,debt_to_income_ratio,employment_years,num_late_payments_12m,num_credit_lines,loan_amount,age,has_mortgage,num_dependents,monthly_expenses,savings_balance,num_previous_loans,avg_previous_loan_amount,region,credit_score_copy,random_noise_1,random_noise_2,random_noise_3,default
3,659,28200.0,0.542,10.1,1,4,7800.0,46,1,1,300.0,4450.0,1,19720.0,East,656.0,53.47,32.86,X,1
880,607,40800.0,0.313,5.0,0,13,12500.0,40,0,2,2770.0,1270.0,3,3250.0,North,605.0,63.99,50.93,Y,0
58,584,96600.0,0.375,2.3,1,6,5500.0,21,1,0,1400.0,11080.0,2,2580.0,South,590.0,41.51,74.38,Z,1
497,757,85600.0,0.33,15.6,0,9,6400.0,42,0,1,2900.0,19570.0,0,4010.0,North,753.0,50.57,20.02,X,0
612,659,62600.0,0.416,4.4,0,3,13300.0,41,0,1,1710.0,22300.0,0,6810.0,East,659.0,40.36,19.48,Z,0
46,569,71300.0,0.459,1.8,0,10,11900.0,50,0,2,2070.0,2800.0,2,5570.0,North,572.0,54.37,16.14,Z,1
201,554,55900.0,0.456,1.7,3,6,7300.0,35,1,0,3670.0,21610.0,2,14100.0,South,558.0,60.4,54.16,X,1
666,736,43600.0,0.334,9.4,1,3,11800.0,21,0,0,3630.0,6080.0,1,19690.0,West,739.0,43.06,13.17,Z,0
604,531,41200.0,0.281,16.8,0,6,3100.0,46,0,2,2620.0,2170.0,2,18780.0,South,532.0,52.66,46.67,Y,1
300,539,65600.0,0.405,6.8,0,9,16100.0,38,0,2,2470.0,2250.0,1,10680.0,North,541.0,47.19,0.88,X,0
214,721,101000.0,0.267,4.0,0,4,10800.0,46,1,1,1970.0,2660.0,0,3300.0,West,721.0,43.22,78.77,Z,0
66,644,101600.0,0.147,1.0,1,6,7400.0,24,0,1,1940.0,4390.0,3,6790.0,North,638.0,47.06,0.57,X,1
451,713,78600.0,0.401,0.8,1,7,27300.0,40,1,0,1910.0,3540.0,1,9620.0,North,711.0,61.75,77.08,Y,0
129,661,73200.0,0.351,6.5,3,8,6200.0,44,0,2,2160.0,1570.0,4,6890.0,West,663.0,52.28,55.15,X,0
99,814,41400.0,0.135,3.7,1,10,10600.0,42,0,1,2050.0,3780.0,4,10640.0,West,812.0,52.41,25.25,X,0
857,654,77200.0,0.324,2.4,0,10,7600.0,44,0,3,3370.0,3280.0,2,22830.0,South,655.0,35.49,5.48,X,0
149,580,24700.0,0.343,10.5,3,7,8500.0,31,0,0,2300.0,5670.0,2,3520.0,West,584.0,47.34,46.5,Y,1
698,706,109500.0,0.296,3.9,0,6,11800.0,65,1,2,3450.0,5240.0,2,6680.0,East,708.0,69.26,60.75,X,0
11,711,48200.0,0.325,8.5,0,6,11300.0,48,0,3,2240.0,260.0,0,6220.0,South,706.0,50.72,3.26,X,0
917,798,33200.0,0.5,8.0,1,9,12300.0,51,0,1,2520.0,6080.0,2,8220.0,North,800.0,50.83,36.35,Z,0
515,628,52300.0,0.12,1.2,0,7,9400.0,33,0,1,2430.0,4940.0,7,6060.0,North,626.0,66.47,61.96,X,0
835,660,68600.0,0.201,12.0,1,9,16500.0,55,0,0,2510.0,16350.0,4,5410.0,South,659.0,53.19,83.29,Z,0
250,820,76800.0,0.21,4.2,0,10,2700.0,21,1,2,2710.0,1700.0,1,2590.0,East,820.0,62.8,17.89,Y,0
505,588,58100.0,0.124,4.9,0,10,7500.0,32,0,1,2530.0,1880.0,2,4740.0,East,592.0,40.57,96.46,X,0
581,650,52100.0,0.403,7.5,1,10,9600.0,43,0,2,1480.0,3840.0,1,3870.0,South,645.0,42.13,77.87,Y,1
256,700,40200.0,0.181,7.6,1,7,8400.0,33,1,2,3950.0,1420.0,2,11270.0,East,697.0,46.19,37.01,Y,1
370,687,72200.0,0.264,4.4,1,12,10500.0,51,0,0,1470.0,19900.0,4,13540.0,East,681.0,42.21,60.64,Z,0
377,685,55400.0,0.386,1.7,1,10,3300.0,42,0,0,4170.0,14410.0,1,6240.0,North,688.0,33.94,76.09,X,0
133,697,19800.0,0.093,4.2,0,8,4900.0,22,1,1,2340.0,21810.0,2,4110.0,South,694.0,33.42,37.69,Z,0
317,658,66100.0,0.114,9.4,0,10,14300.0,62,1,0,2720.0,630.0,0,7090.0,North,662.0,49.23,11.09,Z,0
995,672,37900.0,0.147,19.6,2,14,11100.0,40,1,0,1370.0,8810.0,3,13050.0,South,674.0,51.91,25.84,Z,0
713,736,94700.0,0.428,6.1,0,5,15000.0,33,0,0,1980.0,4060.0,2,4910.0,South,740.0,34.96,14.42,Y,0
724,682,123300.0,0.194,1.7,0,3,7800.0,21,1,0,2650.0,400.0,2,18380.0,South,684.0,53.25,32.35,Z,0
281,562,65600.0,0.167,1.0,1,5,9200.0,46,1,2,2270.0,2340.0,4,7430.0,West,559.0,49.03,62.44,X,0
559,693,92700.0,0.462,1.1,1,6,27000.0,38,0,1,3530.0,10730.0,3,7570.0,South,692.0,44.43,77.21,Z,0
768,729,80400.0,0.119,11.9,0,10,14800.0,53,0,0,310.0,2510.0,1,3310.0,East,727.0,56.53,96.41,Y,0
521,725,98500.0,0.432,4.8,0,11,10700.0,36,1,0,820.0,1810.0,1,3250.0,West,723.0,35.89,19.45,Z,1
452,749,60800.0,0.275,3.7,0,3,16900.0,21,1,2,3910.0,38310.0,1,24960.0,South,748.0,50.72,5.7,X,0
769,756,30200.0,0.153,1.2,1,11,8500.0,49,0,2,3520.0,2440.0,0,10510.0,South,757.0,60.29,85.12,Z,0
605,656,50900.0,0.387,1.9,1,4,23100.0,35,0,3,2200.0,9040.0,1,4930.0,West,660.0,60.1,82.18,X,0
