transaction_id,customer_id,transaction_date,transaction_amount,product_id,channel,transaction_status,is_fraud
5,1,2025-01-05 00:00:00,2178.21,P6,Mobile App,Success,0
12,1,2025-01-22 00:00:00,2379.63,P9,Mobile App,Success,0
3,1,2025-01-30 00:00:00,3777.71,P7,Mobile App,Failed,0
11,1,2025-02-01 00:00:00,3390.02,P5,Mobile App,Success,0
7,1,2025-02-09 00:00:00,3219.29,P5,Mobile App,Success,0
17,1,2025-03-02 00:00:00,3308.84,P10,Web,Success,0
18,1,2025-03-08 00:00:00,2511.05,P1,Mobile App,Success,0
6,1,2025-03-14 00:00:00,2397.1,P3,Mobile App,Success,0
22,1,2025-03-19 00:00:00,2895.61,P4,Web,Success,0
20,1,2025-03-21 00:00:00,3627.55,P1,Web,Success,0
14,1,2025-04-19 00:00:00,3132.74,P1,Web,Success,0
19,1,2025-04-27 00:00:00,2478.32,P8,Web,Success,0
4,1,2025-04-29 00:00:00,3935.75,P3,Mobile App,Success,0
21,1,2025-04-29 00:00:00,634.55,P8,Mobile App,Success,0
15,1,2025-05-18 00:00:00,1948.35,P3,Web,Success,0
10,1,2025-05-25 00:00:00,1531.34,P2,Mobile App,Failed,0
2,1,2025-05-26 00:00:00,2253.73,P6,Web,Success,0
16,1,2025-05-31 00:00:00,2706.56,P3,Mobile App,Success,0
1,1,2025-06-02 00:00:00,4858.3,P6,Mobile App,Success,0
9,1,2025-06-26 00:00:00,1214.98,P7,Web,Success,0
13,1,2025-06-26 00:00:00,3069.19,P9,Mobile App,Success,0
8,1,2025-06-30 00:00:00,3917.22,P1,Mobile App,Success,0
31,2,2025-03-01 00:00:00,1524.6,P6,Web,Success,0
26,2,2025-03-04 00:00:00,1796.35,P3,Web,Success,0
39,2,2025-03-07 00:00:00,1308.38,P7,Web,Success,0
24,2,2025-03-15 00:00:00,1671.86,P7,POS,Success,0
25,2,2025-03-16 00:00:00,1309.29,P5,POS,Success,0
35,2,2025-03-26 00:00:00,1482.93,P5,POS,Success,0
23,2,2025-04-08 00:00:00,1287.78,P4,POS,Success,0
29,2,2025-04-09 00:00:00,1184.41,P3,POS,Success,0
30,2,2025-04-10 00:00:00,1263.79,P6,Mobile App,Success,0
41,2,2025-04-23 00:00:00,1471.52,P3,Web,Success,0
28,2,2025-04-24 00:00:00,1661.78,P3,POS,Success,0
37,2,2025-04-30 00:00:00,1575.96,P1,Mobile App,Success,0
36,2,2025-05-21 00:00:00,1500.38,P3,POS,Success,0
32,2,2025-06-05 00:00:00,1009.8,P5,POS,Success,0
34,2,2025-06-05 00:00:00,1548.53,P2,POS,Success,0
38,2,2025-06-05 00:00:00,1145.76,P9,Mobile App,Success,0
