student_id,study_hours,attendance_pct,mock_test_1,mock_test_2,mock_test_3,income_bracket,city,enrollment_date,shoe_size,lucky_number,final_score
309,12.3,70.2,18.6,26.1,20.0,High,Pune,2024-09-20,10.5,75,75.6
14,14.5,73.7,23.2,35.1,40.0,Medium,Delhi,2025-04-17,8.4,64,81.0
415,8.9,89.8,87.7,87.2,82.7,Medium,Pune,2024-10-07,9.9,14,92.7
33,8.0,68.3,58.4,56.5,54.0,Medium,Mumbai,2024-01-13,9.7,91,76.7
461,11.3,99.3,75.4,66.9,66.8,Low,Delhi,2025-07-29,9.2,86,100.0
156,17.1,79.8,52.3,65.3,58.1,Medium,Mumbai,2025-08-31,8.5,16,100.0
250,5.3,61.6,42.0,43.6,41.1,Low,Delhi,2024-03-25,8.6,9,57.5
218,15.3,85.3,23.1,25.7,27.2,Low,Mumbai,2024-03-06,9.9,47,84.5
222,11.0,91.9,71.0,74.7,87.1,Medium,Mumbai,2024-10-18,4.9,72,94.7
294,,80.9,26.3,25.5,25.0,Low,Pune,2025-08-14,6.1,60,52.8
133,12.5,68.9,50.6,47.4,49.4,Medium,Mumbai,2025-10-03,8.0,75,86.5
466,8.2,54.5,63.5,56.0,51.0,Low,Mumbai,2025-01-22,7.9,43,66.6
439,7.4,89.1,37.2,47.3,38.9,Low,Mumbai,2024-03-16,6.7,16,75.0
180,11.1,72.5,64.6,64.0,69.0,High,Mumbai,2024-12-10,8.5,31,85.7
498,8.7,76.8,42.2,29.6,56.7,High,Pune,2025-07-29,7.0,59,81.6
391,0.8,62.5,56.1,38.2,45.0,Medium,Pune,2024-09-05,7.7,47,56.3
483,10.4,78.4,61.9,63.0,60.5,Medium,Pune,2024-06-23,8.3,38,85.8
473,8.9,78.3,60.4,61.8,59.6,Low,Pune,2025-04-29,8.0,99,82.0
417,14.4,96.5,89.7,89.0,100.0,Medium,Mumbai,2024-09-05,6.6,45,100.0
303,13.5,80.2,67.4,52.6,74.5,Low,Bengaluru,2024-01-09,6.6,64,89.7
139,18.0,83.7,58.7,60.6,62.7,Low,Bengaluru,2024-12-09,7.1,55,100.0
229,6.6,57.9,68.8,81.5,79.4,Low,Pune,2025-10-15,7.6,42,68.5
322,9.2,96.6,56.2,59.1,53.4,High,Pune,2025-01-28,10.5,78,84.2
102,15.2,66.3,76.0,58.9,77.7,Medium,Delhi,2025-07-13,7.4,33,83.4
206,,60.4,61.3,48.1,48.8,Medium,Delhi,2024-02-25,5.9,99,77.6
378,2.0,71.7,73.5,58.5,59.4,Low,Mumbai,2024-09-30,6.5,64,64.7
119,16.4,65.8,67.2,66.6,60.7,Low,Mumbai,2025-03-28,5.4,13,87.6
61,3.3,73.9,55.3,49.0,59.8,High,Delhi,2024-12-13,8.0,8,68.9
91,12.7,56.7,42.7,52.2,46.1,High,Delhi,2025-05-22,7.9,87,79.3
362,11.5,53.4,67.2,67.8,77.5,High,Bengaluru,2025-03-28,8.0,92,84.1
400,7.2,52.0,32.4,42.4,43.7,Medium,Pune,2025-06-30,5.7,99,65.5
355,14.3,79.2,91.5,81.6,83.8,Medium,Pune,2024-07-18,6.2,91,99.6
